Iteration,Pattern,Transport,MsgSize,Metric,Value
1,PAIR,tcp,64,throughput,4576585.73
1,PAIR,tcp,64,latency,29.29
2,PAIR,tcp,64,throughput,4567826.51
2,PAIR,tcp,64,latency,27.79
3,PAIR,tcp,64,throughput,4327674.18
3,PAIR,tcp,64,latency,30.92
4,PAIR,tcp,64,throughput,4561866.90
4,PAIR,tcp,64,latency,29.66
5,PAIR,tcp,64,throughput,4726802.63
5,PAIR,tcp,64,latency,30.39
6,PAIR,tcp,64,throughput,4172830.28
6,PAIR,tcp,64,latency,27.55
7,PAIR,tcp,64,throughput,3479422.69
7,PAIR,tcp,64,latency,34.39
8,PAIR,tcp,64,throughput,4449794.09
8,PAIR,tcp,64,latency,28.80
9,PAIR,tcp,64,throughput,4270046.27
9,PAIR,tcp,64,latency,28.88
10,PAIR,tcp,64,throughput,4608082.58
10,PAIR,tcp,64,latency,28.37
1,PAIR,tcp,1024,throughput,609405.69
1,PAIR,tcp,1024,latency,30.76
2,PAIR,tcp,1024,throughput,652997.90
2,PAIR,tcp,1024,latency,40.41
3,PAIR,tcp,1024,throughput,596194.85
3,PAIR,tcp,1024,latency,29.50
4,PAIR,tcp,1024,throughput,594370.42
4,PAIR,tcp,1024,latency,29.22
5,PAIR,tcp,1024,throughput,605688.20
5,PAIR,tcp,1024,latency,30.70
6,PAIR,tcp,1024,throughput,584842.69
6,PAIR,tcp,1024,latency,34.62
7,PAIR,tcp,1024,throughput,610336.85
7,PAIR,tcp,1024,latency,40.16
8,PAIR,tcp,1024,throughput,595479.12
8,PAIR,tcp,1024,latency,29.66
9,PAIR,tcp,1024,throughput,638813.95
9,PAIR,tcp,1024,latency,29.10
10,PAIR,tcp,1024,throughput,629083.74
10,PAIR,tcp,1024,latency,30.72
1,PUBSUB,tcp,64,throughput,4716981.13
1,PUBSUB,tcp,64,latency,0.21
2,PUBSUB,tcp,64,throughput,4905507.66
2,PUBSUB,tcp,64,latency,0.20
3,PUBSUB,tcp,64,throughput,4881465.81
3,PUBSUB,tcp,64,latency,0.20
