
## PATTERN: MULTI_DEALER_ROUTER
  > Benchmarking libzmq for MULTI_DEALER_ROUTER...
  > Benchmarking zlink for MULTI_DEALER_ROUTER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    852.91 Kmsg/s |    901.32 Kmsg/s |    +5.68% |
| 64B    | Latency    |          0.12 ms |          0.11 ms |    +5.45% |
| 256B   | Throughput |    864.72 Kmsg/s |    878.65 Kmsg/s |    +1.61% |
| 256B   | Latency    |          0.12 ms |          0.11 ms |    +1.65% |
| 1024B  | Throughput |    857.65 Kmsg/s |    864.76 Kmsg/s |    +0.83% |
| 1024B  | Latency    |          0.12 ms |          0.12 ms |    +0.90% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    926.57 Kmsg/s |    933.36 Kmsg/s |    +0.73% |
| 64B    | Latency    |          0.11 ms |          0.11 ms |    +0.82% |
| 256B   | Throughput |    899.79 Kmsg/s |    926.56 Kmsg/s |    +2.98% |
| 256B   | Latency    |          0.11 ms |          0.11 ms |    +2.99% |
| 1024B  | Throughput |    901.54 Kmsg/s |    913.16 Kmsg/s |    +1.29% |
| 1024B  | Latency    |          0.11 ms |          0.11 ms |    +1.36% |
