
## PATTERN: MULTI_DEALER_DEALER
  > Benchmarking libzmq for MULTI_DEALER_DEALER...
  > Benchmarking zlink for MULTI_DEALER_DEALER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   1966.76 Kmsg/s |   1599.00 Kmsg/s |   -18.70% |
| 64B    | Latency    |          0.08 ms |          0.09 ms |   -12.63% |
| 256B   | Throughput |   1217.09 Kmsg/s |   1113.66 Kmsg/s |    -8.50% |
| 256B   | Latency    |          0.09 ms |          0.10 ms |    -5.74% |
| 1024B  | Throughput |   1184.99 Kmsg/s |   1018.38 Kmsg/s |   -14.06% |
| 1024B  | Latency    |          0.08 ms |          0.09 ms |    -6.44% |
| 65536B | Throughput |    181.95 Kmsg/s |    179.06 Kmsg/s |    -1.59% |
| 65536B | Latency    |         40.66 ms |         41.28 ms |    -1.51% |
| 131072B | Throughput |     90.92 Kmsg/s |     86.09 Kmsg/s |    -5.31% |
| 131072B | Latency    |         81.62 ms |         86.00 ms |    -5.37% |
| 262144B | Throughput |     47.42 Kmsg/s |     42.87 Kmsg/s |    -9.61% |
| 262144B | Latency    |        184.79 ms |        169.75 ms |    +8.14% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   1849.92 Kmsg/s |   1424.81 Kmsg/s |   -22.98% |
| 64B    | Latency    |          0.07 ms |          0.08 ms |   -17.73% |
| 256B   | Throughput |   1220.83 Kmsg/s |   1079.72 Kmsg/s |   -11.56% |
| 256B   | Latency    |          0.06 ms |          0.11 ms |   -67.60% |
| 1024B  | Throughput |   1152.01 Kmsg/s |    948.94 Kmsg/s |   -17.63% |
| 1024B  | Latency    |          0.07 ms |          0.08 ms |   -19.37% |
| 65536B | Throughput |    185.50 Kmsg/s |    179.83 Kmsg/s |    -3.05% |
| 65536B | Latency    |         39.82 ms |         41.18 ms |    -3.41% |
| 131072B | Throughput |     95.23 Kmsg/s |     86.11 Kmsg/s |    -9.58% |
| 131072B | Latency    |         77.67 ms |         86.04 ms |   -10.78% |
| 262144B | Throughput |     45.99 Kmsg/s |     45.39 Kmsg/s |    -1.32% |
| 262144B | Latency    |        156.86 ms |        160.75 ms |    -2.48% |
