
## PATTERN: MULTI_ROUTER_ROUTER
  > Benchmarking libzmq for MULTI_ROUTER_ROUTER...
  > Benchmarking zlink for MULTI_ROUTER_ROUTER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    836.97 Kmsg/s |    949.75 Kmsg/s |   +13.47% |
| 64B    | Latency    |          0.12 ms |          0.11 ms |   +11.93% |
| 256B   | Throughput |    832.50 Kmsg/s |    937.68 Kmsg/s |   +12.63% |
| 256B   | Latency    |          0.12 ms |          0.11 ms |   +11.28% |
| 1024B  | Throughput |    799.02 Kmsg/s |    916.11 Kmsg/s |   +14.65% |
| 1024B  | Latency    |          0.12 ms |          0.11 ms |   +12.84% |
| 65536B | Throughput |    164.79 Kmsg/s |    159.79 Kmsg/s |    -3.04% |
| 65536B | Latency    |          0.61 ms |          0.63 ms |    -3.15% |
| 131072B | Throughput |     72.20 Kmsg/s |     71.11 Kmsg/s |    -1.52% |
| 131072B | Latency    |          1.38 ms |          1.41 ms |    -1.56% |
| 262144B | Throughput |     30.98 Kmsg/s |     33.33 Kmsg/s |    +7.58% |
| 262144B | Latency    |          3.22 ms |          2.99 ms |    +7.20% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    859.37 Kmsg/s |    933.00 Kmsg/s |    +8.57% |
| 64B    | Latency    |          0.12 ms |          0.11 ms |    +7.97% |
| 256B   | Throughput |    846.45 Kmsg/s |    940.91 Kmsg/s |   +11.16% |
| 256B   | Latency    |          0.12 ms |          0.11 ms |   +10.12% |
| 1024B  | Throughput |    822.52 Kmsg/s |    915.43 Kmsg/s |   +11.30% |
| 1024B  | Latency    |          0.12 ms |          0.11 ms |   +10.22% |
| 65536B | Throughput |    186.22 Kmsg/s |    171.64 Kmsg/s |    -7.83% |
| 65536B | Latency    |          0.54 ms |          0.58 ms |    -8.64% |
| 131072B | Throughput |     85.77 Kmsg/s |     71.54 Kmsg/s |   -16.60% |
| 131072B | Latency    |          1.16 ms |          1.40 ms |   -19.92% |
| 262144B | Throughput |     38.16 Kmsg/s |     32.09 Kmsg/s |   -15.91% |
| 262144B | Latency    |          2.62 ms |          3.10 ms |   -18.61% |
