=== Running multi benchmark: router_router ===
    warmup=2s duration=5s runs=1 transports=tcp,ipc

--- Pattern: router_router ---

## PATTERN: MULTI_ROUTER_ROUTER
  > Benchmarking libzmq for MULTI_ROUTER_ROUTER...
  > Benchmarking zlink for MULTI_ROUTER_ROUTER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |     21.44 Kmsg/s |     16.37 Kmsg/s |   -23.68% |
| 64B    | Latency    |          0.05 ms |          0.06 ms |   -30.96% |
| 256B   | Throughput |     20.35 Kmsg/s |     17.99 Kmsg/s |   -11.58% |
| 256B   | Latency    |          0.05 ms |          0.05 ms |   -12.88% |
| 1024B  | Throughput |     16.87 Kmsg/s |     20.25 Kmsg/s |   +20.07% |
| 1024B  | Latency    |          0.06 ms |          0.05 ms |   +17.12% |
| 65536B | Throughput |     13.66 Kmsg/s |     15.22 Kmsg/s |   +11.40% |
| 65536B | Latency    |          0.07 ms |          0.07 ms |    +9.74% |
| 131072B | Throughput |     13.71 Kmsg/s |     12.33 Kmsg/s |   -10.08% |
| 131072B | Latency    |          0.07 ms |          0.08 ms |   -11.11% |
| 262144B | Throughput |     11.94 Kmsg/s |     11.28 Kmsg/s |    -5.55% |
| 262144B | Latency    |          0.08 ms |          0.09 ms |    -5.75% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |     21.79 Kmsg/s |     17.52 Kmsg/s |   -19.58% |
| 64B    | Latency    |          0.05 ms |          0.06 ms |   -24.26% |
| 256B   | Throughput |     17.99 Kmsg/s |     21.35 Kmsg/s |   +18.68% |
| 256B   | Latency    |          0.05 ms |          0.05 ms |   +16.14% |
| 1024B  | Throughput |     16.08 Kmsg/s |     21.54 Kmsg/s |   +33.96% |
| 1024B  | Latency    |          0.06 ms |          0.05 ms |   +25.67% |
| 65536B | Throughput |     15.97 Kmsg/s |     12.62 Kmsg/s |   -20.98% |
| 65536B | Latency    |          0.06 ms |          0.08 ms |   -25.86% |
| 131072B | Throughput |     16.57 Kmsg/s |     11.66 Kmsg/s |   -29.66% |
| 131072B | Latency    |          0.06 ms |          0.09 ms |   -42.01% |
| 262144B | Throughput |     10.37 Kmsg/s |     11.17 Kmsg/s |    +7.66% |
| 262144B | Latency    |          0.10 ms |          0.09 ms |    +7.16% |
