=== Running multi benchmark: pubsub ===
    warmup=2s duration=5s runs=1 transports=tcp,ipc

--- Pattern: pubsub ---

## PATTERN: MULTI_PUBSUB
  > Benchmarking libzmq for MULTI_PUBSUB...
  > Benchmarking zlink for MULTI_PUBSUB...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    122.56 Kmsg/s |    122.65 Kmsg/s |    +0.08% |
| 64B    | Latency    |          0.10 ms |          0.12 ms |   -14.93% |
| 256B   | Throughput |    122.66 Kmsg/s |    122.54 Kmsg/s |    -0.10% |
| 256B   | Latency    |          0.12 ms |          0.11 ms |    +2.31% |
| 1024B  | Throughput |    122.36 Kmsg/s |    122.58 Kmsg/s |    +0.18% |
| 1024B  | Latency    |          0.14 ms |          0.15 ms |    -1.78% |
| 65536B | Throughput |     90.92 Kmsg/s |     89.22 Kmsg/s |    -1.87% |
| 65536B | Latency    |          0.30 ms |          0.38 ms |   -26.44% |
| 131072B | Throughput |     62.23 Kmsg/s |     55.01 Kmsg/s |   -11.60% |
| 131072B | Latency    |          0.48 ms |          0.88 ms |   -82.31% |
| 262144B | Throughput |     33.62 Kmsg/s |     27.84 Kmsg/s |   -17.19% |
| 262144B | Latency    |          1.61 ms |          2.10 ms |   -30.95% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    122.58 Kmsg/s |    122.53 Kmsg/s |    -0.04% |
| 64B    | Latency    |          0.11 ms |          0.12 ms |    -3.32% |
| 256B   | Throughput |    122.64 Kmsg/s |    122.55 Kmsg/s |    -0.07% |
| 256B   | Latency    |          0.10 ms |          0.12 ms |   -17.80% |
| 1024B  | Throughput |    122.27 Kmsg/s |    122.35 Kmsg/s |    +0.07% |
| 1024B  | Latency    |          0.14 ms |          0.13 ms |    +9.38% |
| 65536B | Throughput |     24.25 Kmsg/s |     87.16 Kmsg/s |  +259.42% |
| 65536B | Latency    |          2.70 ms |          0.30 ms |   +88.86% |
| 131072B | Throughput |     23.79 Kmsg/s |     61.50 Kmsg/s |  +158.51% |
| 131072B | Latency    |          2.70 ms |          0.58 ms |   +78.52% |
| 262144B | Throughput |     18.36 Kmsg/s |     23.93 Kmsg/s |   +30.32% |
| 262144B | Latency    |          3.50 ms |          2.47 ms |   +29.37% |
