=== Running multi benchmark: dealer_dealer,dealer_router,router_router,pubsub,stream ===
    warmup=2s duration=5s runs=1 transports=tcp,ipc

--- Pattern: dealer_dealer ---

## PATTERN: MULTI_DEALER_DEALER
  > Benchmarking libzmq for MULTI_DEALER_DEALER...
  > Benchmarking zlink for MULTI_DEALER_DEALER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   1955.83 Kmsg/s |   1585.53 Kmsg/s |   -18.93% |
| 64B    | Latency    |          0.08 ms |          0.10 ms |   -18.00% |
| 256B   | Throughput |   1186.93 Kmsg/s |   1129.68 Kmsg/s |    -4.82% |
| 256B   | Latency    |          0.09 ms |          0.12 ms |   -34.22% |
| 1024B  | Throughput |   1214.67 Kmsg/s |    999.21 Kmsg/s |   -17.74% |
| 1024B  | Latency    |          0.17 ms |          0.09 ms |   +45.61% |
| 65536B | Throughput |    176.02 Kmsg/s |    175.69 Kmsg/s |    -0.19% |
| 65536B | Latency    |         52.52 ms |         41.97 ms |   +20.09% |
| 131072B | Throughput |     90.63 Kmsg/s |     86.39 Kmsg/s |    -4.68% |
| 131072B | Latency    |         81.52 ms |         85.62 ms |    -5.04% |
| 262144B | Throughput |     40.18 Kmsg/s |     44.35 Kmsg/s |   +10.37% |
| 262144B | Latency    |        253.70 ms |        164.51 ms |   +35.16% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   1829.87 Kmsg/s |   1369.20 Kmsg/s |   -25.17% |
| 64B    | Latency    |          0.10 ms |          0.08 ms |   +20.71% |
| 256B   | Throughput |   1205.02 Kmsg/s |   1061.50 Kmsg/s |   -11.91% |
| 256B   | Latency    |          0.07 ms |          0.08 ms |    -9.64% |
| 1024B  | Throughput |   1125.72 Kmsg/s |    939.64 Kmsg/s |   -16.53% |
| 1024B  | Latency    |          0.08 ms |          0.11 ms |   -29.03% |
| 65536B | Throughput |    177.94 Kmsg/s |    167.02 Kmsg/s |    -6.13% |
| 65536B | Latency    |         41.47 ms |         44.18 ms |    -6.53% |
| 131072B | Throughput |     90.69 Kmsg/s |     84.93 Kmsg/s |    -6.35% |
| 131072B | Latency    |         80.64 ms |         87.09 ms |    -7.99% |
| 262144B | Throughput |     50.98 Kmsg/s |     48.06 Kmsg/s |    -5.72% |
| 262144B | Latency    |        139.81 ms |        152.39 ms |    -9.00% |

--- Pattern: dealer_router ---

## PATTERN: MULTI_DEALER_ROUTER
  > Benchmarking libzmq for MULTI_DEALER_ROUTER...
  > Benchmarking zlink for MULTI_DEALER_ROUTER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    876.92 Kmsg/s |    961.18 Kmsg/s |    +9.61% |
| 64B    | Latency    |          0.11 ms |          0.10 ms |    +8.83% |
| 256B   | Throughput |    846.97 Kmsg/s |    948.62 Kmsg/s |   +12.00% |
| 256B   | Latency    |          0.12 ms |          0.11 ms |   +10.78% |
| 1024B  | Throughput |    829.82 Kmsg/s |    919.61 Kmsg/s |   +10.82% |
| 1024B  | Latency    |          0.12 ms |          0.11 ms |    +9.82% |
| 65536B | Throughput |    147.33 Kmsg/s |    147.94 Kmsg/s |    +0.42% |
| 65536B | Latency    |          0.68 ms |          0.68 ms |    +0.43% |
| 131072B | Throughput |     67.03 Kmsg/s |     64.04 Kmsg/s |    -4.46% |
| 131072B | Latency    |          1.49 ms |          1.56 ms |    -4.77% |
| 262144B | Throughput |     27.17 Kmsg/s |     30.63 Kmsg/s |   +12.77% |
| 262144B | Latency    |          3.67 ms |          3.25 ms |   +11.32% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    930.91 Kmsg/s |   1014.38 Kmsg/s |    +8.97% |
| 64B    | Latency    |          0.11 ms |          0.10 ms |    +8.31% |
