## PATTERN: MULTI_DEALER_DEALER (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      7.32 Kops/s |      0.9 MB/s |     59.23 us |    1.1 |      6.4 |    1.2 |      6.6 |

## PATTERN: MULTI_DEALER_ROUTER (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      6.25 Kops/s |      0.8 MB/s |     77.27 us |    1.2 |      6.4 |    1.2 |      6.6 |

## PATTERN: MULTI_ROUTER_ROUTER (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      6.01 Kops/s |      0.8 MB/s |     78.97 us |    1.2 |      6.4 |    1.2 |      6.7 |

## PATTERN: MULTI_PUBSUB (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      5.74 Kmsg/s |      0.4 MB/s |     86.12 us |    1.2 |      6.4 |    1.2 |      6.7 |

## PATTERN: MULTI_GATEWAY (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      5.59 Kmsg/s |      0.4 MB/s |     83.07 us |    1.1 |      6.4 |    1.2 |      6.6 |

## PATTERN: MULTI_SPOT (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      6.85 Kmsg/s |      0.4 MB/s |     63.40 us |    1.1 |      6.4 |    1.1 |      6.6 |

## PATTERN: MULTI_STREAM (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      6.05 Kmsg/s |      0.4 MB/s |     79.03 us |    1.2 |      6.6 |    1.2 |      6.6 |

## PATTERN: MULTI_STREAM_CALLBACK (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      6.19 Kmsg/s |      0.4 MB/s |     98.19 us |    1.1 |      6.4 |    1.2 |      6.6 |

## PATTERN: MULTI_STREAM_LEN32BE (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      6.28 Kmsg/s |      0.4 MB/s |     87.97 us |    1.1 |      6.4 |    1.2 |      6.6 |
