## PATTERN: MULTI_DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      9.08 Kmsg/s |      0.6 MB/s |     78.00 us |    1.1 |      6.6 |    1.1 |      6.7 |
| 256B |     10.46 Kmsg/s |      2.7 MB/s |     64.50 us |    1.3 |      6.7 |    1.3 |      6.7 |
| 1024B |      9.31 Kmsg/s |      9.5 MB/s |     51.00 us |    1.3 |      6.7 |    1.3 |      6.7 |
| 65536B |      6.91 Kmsg/s |    452.8 MB/s |     67.00 us |    1.8 |      6.9 |    1.7 |      6.7 |
| 131072B |      6.19 Kmsg/s |    810.9 MB/s |     66.50 us |    2.0 |      7.2 |    2.1 |      7.0 |
| 262144B |      4.73 Kmsg/s |   1240.7 MB/s |    163.00 us |    2.4 |      7.6 |    2.3 |      7.3 |

## PATTERN: MULTI_DEALER_ROUTER (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |     10.32 Kops/s |      1.3 MB/s |     43.00 us |    1.3 |      6.7 |    1.3 |      6.7 |
| 256B |      9.66 Kops/s |      4.9 MB/s |     40.50 us |    1.3 |      6.7 |    1.3 |      6.7 |
| 1024B |      9.63 Kops/s |     19.7 MB/s |     79.00 us |    1.3 |      6.7 |    1.3 |      6.7 |
| 65536B |      6.81 Kops/s |    893.1 MB/s |     67.50 us |    1.8 |      6.7 |    1.8 |      6.7 |
| 131072B |      6.37 Kops/s |   1668.8 MB/s |     67.00 us |    2.0 |      7.2 |    2.1 |      6.9 |
| 262144B |      4.68 Kops/s |   2453.3 MB/s |    116.00 us |    2.3 |      7.6 |    2.3 |      7.3 |

## PATTERN: MULTI_ROUTER_ROUTER (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |     10.45 Kops/s |      1.3 MB/s |     41.00 us |    1.3 |      6.7 |    1.3 |      6.7 |
| 256B |     10.30 Kops/s |      5.3 MB/s |     41.50 us |    1.3 |      6.7 |    1.3 |      6.7 |
| 1024B |     10.28 Kops/s |     21.1 MB/s |     42.50 us |    1.3 |      6.7 |    1.3 |      6.7 |
| 65536B |      7.30 Kops/s |    956.6 MB/s |     57.50 us |    1.8 |      6.9 |    1.8 |      6.7 |
| 131072B |      6.19 Kops/s |   1624.0 MB/s |     66.50 us |    2.0 |      7.2 |    2.1 |      7.0 |
| 262144B |      4.64 Kops/s |   2432.9 MB/s |    128.50 us |    2.3 |      7.6 |    2.3 |      7.3 |

## PATTERN: MULTI_PUBSUB (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      8.88 Kmsg/s |      0.6 MB/s |     58.00 us |    1.3 |      6.7 |    1.3 |      6.7 |
| 256B |      9.73 Kmsg/s |      2.5 MB/s |     52.50 us |    1.3 |      6.7 |    1.3 |      6.7 |
| 1024B |      8.81 Kmsg/s |      9.0 MB/s |     52.00 us |    1.3 |      6.7 |    1.3 |      6.7 |
| 65536B |      7.02 Kmsg/s |    459.8 MB/s |     58.00 us |    1.8 |      6.7 |    1.8 |      6.7 |
