## PATTERN: PAIR (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |     40.09 Kmsg/s |      2.6 MB/s |     70.50 us |  0.0 |    6.6 |
| 256B |     22.81 Kmsg/s |      5.8 MB/s |    167.00 us |  0.0 |    6.6 |
| 1024B |     23.92 Kmsg/s |     24.5 MB/s |     82.50 us |  0.0 |    6.6 |
| 65536B |     15.29 Kmsg/s |   1002.2 MB/s |     77.00 us |  0.0 |    6.6 |
| 131072B |      8.26 Kmsg/s |   1083.0 MB/s |    121.00 us |  0.0 |    6.6 |
| 262144B |      5.52 Kmsg/s |   1446.1 MB/s |    340.50 us |  0.0 |    6.6 |

## PATTERN: PUBSUB (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |     21.73 Kmsg/s |      1.4 MB/s |     46.02 us |  0.0 |    6.6 |
| 256B |     39.21 Kmsg/s |     10.0 MB/s |     25.50 us |  0.0 |    6.6 |
| 1024B |     24.96 Kmsg/s |     25.6 MB/s |     40.07 us |  0.0 |    6.6 |
| 65536B |     11.41 Kmsg/s |    747.9 MB/s |     87.63 us |  0.0 |    6.6 |
| 131072B |      8.83 Kmsg/s |   1157.9 MB/s |    113.20 us |  0.0 |    6.6 |
| 262144B |      7.44 Kmsg/s |   1951.6 MB/s |    134.32 us |  0.0 |    6.6 |

## PATTERN: DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |     16.95 Kmsg/s |      1.1 MB/s |    116.00 us |  0.0 |    6.6 |
| 256B |     17.88 Kmsg/s |      4.6 MB/s |     40.50 us |  0.0 |    6.6 |
| 1024B |     48.48 Kmsg/s |     49.6 MB/s |     63.00 us |  0.0 |    6.6 |
| 65536B |     11.33 Kmsg/s |    742.7 MB/s |    136.00 us |  0.0 |    6.6 |
| 131072B |     12.16 Kmsg/s |   1593.7 MB/s |    232.50 us |  0.0 |    6.6 |
| 262144B |      8.06 Kmsg/s |   2114.2 MB/s |    235.50 us |  0.0 |    6.4 |

## PATTERN: DEALER_ROUTER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
