## PATTERN: PAIR (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |   5121.60 Kmsg/s |    327.8 MB/s |     57.15 us |  1.2 |   18.0 |
| 256B |   2138.80 Kmsg/s |    547.5 MB/s |     48.94 us |  1.8 |   58.6 |
| 1024B |    829.33 Kmsg/s |    849.2 MB/s |     39.54 us |  2.7 |  199.3 |
| 65536B |     55.73 Kmsg/s |   3652.5 MB/s |     98.81 us |  4.5 |  345.2 |
| 131072B |     37.66 Kmsg/s |   4936.4 MB/s |     97.83 us |  5.5 |   34.7 |
| 262144B |     20.67 Kmsg/s |   5417.6 MB/s |    127.97 us |  6.7 |  315.9 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B | N/A | N/A | N/A | N/A | N/A |
| 256B | N/A | N/A | N/A | N/A | N/A |
| 1024B | N/A | N/A | N/A | N/A | N/A |
| 65536B | N/A | N/A | N/A | N/A | N/A |
| 131072B | N/A | N/A | N/A | N/A | N/A |
| 262144B | N/A | N/A | N/A | N/A | N/A |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |   5499.11 Kmsg/s |    351.9 MB/s |     61.35 us |  1.3 |   15.8 |
| 256B |   2944.73 Kmsg/s |    753.9 MB/s |     62.87 us |  1.6 |   53.8 |
| 1024B |   1051.59 Kmsg/s |   1076.8 MB/s |     63.79 us |  2.5 |   68.6 |
| 65536B |     39.87 Kmsg/s |   2613.2 MB/s |    101.77 us |  4.9 |  520.7 |
| 131072B |     19.68 Kmsg/s |   2579.3 MB/s |    100.06 us |  6.0 |  414.0 |
| 262144B |     11.84 Kmsg/s |   3103.2 MB/s |    168.85 us |  6.8 |  582.5 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B | N/A | N/A | N/A | N/A | N/A |
| 256B | N/A | N/A | N/A | N/A | N/A |
| 1024B | N/A | N/A | N/A | N/A | N/A |
| 65536B | N/A | N/A | N/A | N/A | N/A |
| 131072B | N/A | N/A | N/A | N/A | N/A |
| 262144B | N/A | N/A | N/A | N/A | N/A |

### Transport: inproc
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |   5809.09 Kmsg/s |    371.8 MB/s |      0.08 us |  0.6 |    6.9 |
| 256B |   4491.15 Kmsg/s |   1149.7 MB/s |      0.09 us |  0.5 |   28.9 |
| 1024B |   1896.49 Kmsg/s |   1942.0 MB/s |      0.12 us |  1.3 |  130.0 |
| 65536B |    140.49 Kmsg/s |   9207.4 MB/s |      2.19 us |  1.8 |    7.2 |
| 131072B |     72.62 Kmsg/s |   9518.7 MB/s |      3.79 us |  2.8 |    6.9 |
| 262144B |     42.33 Kmsg/s |  11096.7 MB/s |      7.38 us |  3.5 |    8.9 |

### Transport: ipc
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |   5293.99 Kmsg/s |    338.8 MB/s |     33.25 us |  0.9 |   16.6 |
| 256B |   2358.31 Kmsg/s |    603.7 MB/s |     41.49 us |  1.6 |   50.4 |
| 1024B |    872.99 Kmsg/s |    893.9 MB/s |     38.36 us |  2.6 |   83.0 |
| 65536B |     58.33 Kmsg/s |   3823.0 MB/s |     64.17 us |  4.5 |  218.4 |
| 131072B |     30.82 Kmsg/s |   4039.0 MB/s |     71.77 us |  6.0 |  411.4 |
| 262144B |     19.00 Kmsg/s |   4981.1 MB/s |    105.39 us |  6.7 |  685.1 |
