## PATTERN: MULTI_DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |     10.11 Kmsg/s |      0.6 MB/s |     67.15 us |    1.3 |     32.0 |    1.3 |     38.1 |
| 256B |      9.79 Kmsg/s |      2.5 MB/s |     47.95 us |    1.3 |     32.0 |    1.3 |     38.1 |
| 1024B |     10.12 Kmsg/s |     10.4 MB/s |     49.40 us |    1.3 |     32.0 |    1.3 |     38.1 |
| 65536B |      7.16 Kmsg/s |    469.1 MB/s |     65.60 us |    1.8 |     32.2 |    1.8 |     38.3 |
| 131072B |      6.20 Kmsg/s |    812.0 MB/s |     75.45 us |    2.0 |     32.3 |    2.0 |     38.6 |
| 262144B |      4.47 Kmsg/s |   1171.0 MB/s |    116.85 us |    2.3 |     33.1 |    2.2 |     39.1 |

## PATTERN: MULTI_DEALER_ROUTER (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |     10.01 Kops/s |      1.3 MB/s |     66.50 us |    1.3 |     32.0 |    1.3 |     38.9 |
| 256B |     10.12 Kops/s |      5.2 MB/s |    102.35 us |    1.3 |     32.0 |    1.3 |     38.1 |
| 1024B |      9.98 Kops/s |     20.4 MB/s |     49.90 us |    1.3 |     32.5 |    1.3 |     38.6 |
| 65536B |      6.74 Kops/s |    883.5 MB/s |     73.75 us |    1.8 |     32.2 |    1.8 |     38.8 |
| 131072B |      6.14 Kops/s |   1608.7 MB/s |     94.90 us |    2.1 |     32.3 |    2.0 |     38.9 |
| 262144B |      4.82 Kops/s |   2528.7 MB/s |     96.65 us |    2.3 |     33.1 |    2.3 |     39.2 |

## PATTERN: MULTI_ROUTER_ROUTER (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |     10.04 Kops/s |      1.3 MB/s |     49.20 us |    1.3 |     32.0 |    1.3 |     38.8 |
| 256B |      8.78 Kops/s |      4.5 MB/s |     48.00 us |    1.3 |     32.0 |    1.3 |     38.6 |
| 1024B |      9.36 Kops/s |     19.2 MB/s |     71.00 us |    1.3 |     32.0 |    1.3 |     38.6 |
| 65536B |      7.08 Kops/s |    928.2 MB/s |     64.95 us |    1.8 |     32.0 |    1.8 |     38.6 |
| 131072B |      6.17 Kops/s |   1617.9 MB/s |     72.75 us |    2.0 |     32.3 |    2.0 |     38.6 |
| 262144B |      4.70 Kops/s |   2465.2 MB/s |    103.95 us |    2.3 |     32.9 |    2.3 |     39.3 |

## PATTERN: MULTI_PUBSUB (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      9.53 Kmsg/s |      0.6 MB/s |     68.35 us |    1.3 |     32.2 |    1.3 |     38.1 |
| 256B |      8.82 Kmsg/s |      2.3 MB/s |    101.35 us |    1.3 |     32.0 |    1.3 |     37.8 |
| 1024B |      9.99 Kmsg/s |     10.2 MB/s |     48.15 us |    1.3 |     32.0 |    1.3 |     38.4 |
| 65536B |      6.74 Kmsg/s |    441.8 MB/s |     72.40 us |    1.8 |     32.0 |    1.7 |     38.6 |
| 131072B |      5.98 Kmsg/s |    783.3 MB/s |     82.90 us |    2.0 |     32.3 |    2.0 |     38.9 |
| 262144B |      4.59 Kmsg/s |   1203.1 MB/s |    269.30 us |    2.4 |     33.1 |    2.3 |     38.8 |

## PATTERN: MULTI_GATEWAY (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |     10.32 Kmsg/s |      0.7 MB/s |    137.10 us |    1.3 |     32.2 |    1.3 |     38.1 |
| 256B |      9.35 Kmsg/s |      2.4 MB/s |     86.55 us |    1.3 |     32.3 |    1.3 |     38.0 |
| 1024B |     10.02 Kmsg/s |     10.3 MB/s |     48.85 us |    1.3 |     31.9 |    1.3 |     38.1 |
| 65536B |      6.75 Kmsg/s |    442.6 MB/s |     70.15 us |    1.7 |     32.2 |    1.7 |     38.3 |
| 131072B |      5.53 Kmsg/s |    724.3 MB/s |    188.40 us |    2.0 |     32.5 |    1.9 |     38.4 |
| 262144B |      4.72 Kmsg/s |   1236.2 MB/s |    104.95 us |    2.4 |     32.9 |    2.3 |     38.8 |

## PATTERN: MULTI_SPOT (one-way)

### Transport: tcp
