## PATTERN: MULTI_DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      9.15 Kmsg/s |      0.6 MB/s |     48.14 us |    1.3 |     32.2 |    1.3 |     38.3 |
| 256B |      9.25 Kmsg/s |      2.4 MB/s |     52.46 us |    1.3 |     31.9 |    1.3 |     38.0 |
| 1024B |      8.89 Kmsg/s |      9.1 MB/s |     64.63 us |    1.3 |     31.6 |    1.3 |     38.1 |
| 65536B |      6.69 Kmsg/s |    438.7 MB/s |     71.78 us |    1.8 |     32.2 |    1.8 |     38.1 |
| 131072B |      5.72 Kmsg/s |    749.8 MB/s |     86.71 us |    2.0 |     32.8 |    2.0 |     38.6 |
| 262144B |      4.42 Kmsg/s |   1158.3 MB/s |    114.26 us |    2.3 |     32.9 |    2.3 |     39.1 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 256B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 1024B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 65536B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 131072B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 262144B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      9.15 Kmsg/s |      0.6 MB/s |     48.68 us |    1.4 |     32.5 |    1.4 |     38.8 |
| 256B |      9.05 Kmsg/s |      2.3 MB/s |     59.58 us |    1.4 |     32.5 |    1.4 |     38.8 |
| 1024B |      8.58 Kmsg/s |      8.8 MB/s |     61.25 us |    1.4 |     32.7 |    1.4 |     38.4 |
| 65536B |      5.49 Kmsg/s |    360.1 MB/s |     88.62 us |    1.9 |     32.8 |    1.8 |     39.4 |
| 131072B |      4.63 Kmsg/s |    606.7 MB/s |    107.30 us |    2.2 |     33.0 |    2.1 |     39.1 |
| 262144B |      3.78 Kmsg/s |    992.0 MB/s |    133.15 us |    2.5 |     33.5 |    2.4 |     39.7 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 256B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 1024B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 65536B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 131072B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 262144B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
