## PATTERN: PAIR (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |   3502.38 Kmsg/s |    224.2 MB/s |     37.12 us |  1.4 |   46.2 |
| 256B |   1750.46 Kmsg/s |    448.1 MB/s |     37.72 us |  1.7 |   38.4 |
| 1024B |    928.30 Kmsg/s |    950.6 MB/s |     35.59 us |  2.7 |   65.4 |
| 65536B |     54.10 Kmsg/s |   3545.4 MB/s |    141.56 us |  4.4 |   55.5 |
| 131072B |     37.81 Kmsg/s |   4955.5 MB/s |    153.91 us |  5.2 |   60.0 |
| 262144B |     20.15 Kmsg/s |   5283.2 MB/s |    228.33 us |  6.3 |  187.2 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B | N/A | N/A | N/A | N/A | N/A |
| 256B | N/A | N/A | N/A | N/A | N/A |
| 1024B | N/A | N/A | N/A | N/A | N/A |
| 65536B | N/A | N/A | N/A | N/A | N/A |
| 131072B | N/A | N/A | N/A | N/A | N/A |
| 262144B | N/A | N/A | N/A | N/A | N/A |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |   3575.74 Kmsg/s |    228.8 MB/s |     54.34 us |  1.5 |   42.6 |
| 256B |   2550.54 Kmsg/s |    652.9 MB/s |     53.62 us |  1.4 |   76.0 |
| 1024B |   1100.51 Kmsg/s |   1126.9 MB/s |     45.71 us |  2.1 |  204.8 |
| 65536B |     40.40 Kmsg/s |   2648.0 MB/s |    135.14 us |  4.7 |  198.6 |
| 131072B |     21.31 Kmsg/s |   2792.7 MB/s |    117.12 us |  5.8 |  436.6 |
| 262144B |     12.91 Kmsg/s |   3385.6 MB/s |    243.76 us |  6.5 |  481.8 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B | N/A | N/A | N/A | N/A | N/A |
| 256B | N/A | N/A | N/A | N/A | N/A |
| 1024B | N/A | N/A | N/A | N/A | N/A |
| 65536B | N/A | N/A | N/A | N/A | N/A |
| 131072B | N/A | N/A | N/A | N/A | N/A |
| 262144B | N/A | N/A | N/A | N/A | N/A |

### Transport: inproc
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |   4904.67 Kmsg/s |    313.9 MB/s |      0.15 us |  1.0 |   33.3 |
| 256B |   3956.72 Kmsg/s |   1012.9 MB/s |      0.16 us |  1.0 |   44.8 |
| 1024B |   1739.98 Kmsg/s |   1781.7 MB/s |      0.20 us |  1.6 |  145.4 |
| 65536B |    132.20 Kmsg/s |   8663.8 MB/s |      2.18 us |  2.0 |   33.9 |
| 131072B |     75.07 Kmsg/s |   9839.8 MB/s |      3.92 us |  2.7 |   33.2 |
| 262144B |     56.74 Kmsg/s |  14873.5 MB/s |      7.90 us |  3.5 |   33.7 |

### Transport: ipc
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |   2712.15 Kmsg/s |    173.6 MB/s |     34.60 us |  1.2 |   47.2 |
| 256B |   1842.50 Kmsg/s |    471.7 MB/s |     31.93 us |  1.7 |   51.7 |
| 1024B |    884.67 Kmsg/s |    905.9 MB/s |     32.46 us |  2.6 |  150.1 |
| 65536B |     58.18 Kmsg/s |   3813.1 MB/s |     59.90 us |  4.5 |  173.7 |
| 131072B |     34.41 Kmsg/s |   4510.1 MB/s |    172.57 us |  5.3 |  596.5 |
| 262144B |     18.63 Kmsg/s |   4884.5 MB/s |    220.50 us |  6.3 |  225.1 |
