## PATTERN: MULTI_GATEWAY (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   3861.54 Kops/s |    494.3 MB/s |      0.26 us |     0.26 us |     0.26 us |   13.7 |     33.0 |   12.8 |    634.4 |
| 256B |   3780.22 Kops/s |   1935.5 MB/s |      0.26 us |     0.26 us |     0.26 us |   13.7 |     32.4 |   12.6 |    818.4 |
| 1024B |   2733.66 Kops/s |   5598.5 MB/s |      0.37 us |     0.37 us |     0.37 us |   13.5 |     32.4 |   11.7 |    274.5 |
| 65536B |    132.10 Kops/s |  17315.1 MB/s |      7.57 us |     7.57 us |     7.57 us |   10.5 |     29.8 |   11.1 |    290.5 |
| 131072B |     57.95 Kops/s |  15190.5 MB/s |     17.26 us |    17.26 us |    17.26 us |    9.0 |     31.1 |   11.4 |    850.6 |
| 262144B |     29.48 Kops/s |  15458.6 MB/s |     33.92 us |    33.92 us |    33.92 us |    8.0 |     27.3 |   11.9 |    858.6 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   3727.37 Kops/s |    477.1 MB/s |      0.27 us |     0.27 us |     0.27 us |   13.7 |     33.0 |   11.9 |    218.4 |
| 256B |   3683.67 Kops/s |   1886.0 MB/s |      0.27 us |     0.27 us |     0.27 us |   12.2 |     33.0 |   12.4 |    210.5 |
| 1024B |   2254.92 Kops/s |   4618.1 MB/s |      0.44 us |     0.44 us |     0.44 us |   11.3 |     33.0 |   12.7 |    690.5 |
| 65536B |     71.49 Kops/s |   9370.0 MB/s |     13.99 us |    13.99 us |    13.99 us |   10.2 |     31.1 |   12.9 |    442.4 |
| 131072B |     33.47 Kops/s |   8774.9 MB/s |     29.87 us |    29.87 us |    29.87 us |   10.2 |     27.3 |   12.3 |    378.5 |
| 262144B |     14.53 Kops/s |   7616.7 MB/s |     68.83 us |    68.83 us |    68.83 us |    8.6 |     27.3 |   12.4 |    154.7 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   3586.54 Kops/s |    459.1 MB/s |      0.28 us |     0.28 us |     0.28 us |   12.8 |     32.4 |   12.4 |    746.4 |
| 256B |   2354.18 Kops/s |   1205.3 MB/s |      0.42 us |     0.42 us |     0.42 us |   10.5 |     33.0 |   11.1 |    530.4 |
| 1024B |   2074.55 Kops/s |   4248.7 MB/s |      0.48 us |     0.48 us |     0.48 us |    9.2 |     33.0 |   12.1 |    202.4 |
| 65536B |    113.60 Kops/s |  14889.5 MB/s |      8.80 us |     8.80 us |     8.80 us |    9.6 |     29.8 |   12.0 |    706.5 |
| 131072B |     58.67 Kops/s |  15380.8 MB/s |     17.04 us |    17.04 us |    17.04 us |    9.7 |     31.1 |   11.7 |    754.5 |
| 262144B |     36.98 Kops/s |  19390.2 MB/s |     27.04 us |    27.04 us |    27.04 us |   10.6 |     28.6 |   11.9 |    274.7 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   4112.43 Kops/s |    526.4 MB/s |      0.24 us |     0.24 us |     0.24 us |   13.7 |     33.0 |   12.8 |    274.4 |
| 256B |   3555.62 Kops/s |   1820.5 MB/s |      0.28 us |     0.28 us |     0.28 us |   12.6 |     32.4 |   12.6 |    362.4 |
| 1024B |   1410.92 Kops/s |   2889.6 MB/s |      0.71 us |     0.71 us |     0.71 us |    9.5 |     32.4 |   13.2 |    626.4 |
| 65536B |     47.59 Kops/s |   6238.2 MB/s |     21.01 us |    21.01 us |    21.01 us |    8.6 |     31.1 |   11.9 |    234.5 |
| 131072B |     26.81 Kops/s |   7028.4 MB/s |     37.30 us |    37.30 us |    37.30 us |    8.5 |     27.3 |   12.5 |    546.6 |
| 262144B |     13.79 Kops/s |   7228.4 MB/s |     72.53 us |    72.53 us |    72.53 us |    8.7 |     27.3 |   12.1 |     34.7 |
