## PATTERN: MULTI_STREAM (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |     92.00 Kops/s |     11.8 MB/s |    108.62 us |   153.00 us |   171.00 us |    2.7 |     13.8 |    5.4 |     51.6 |
| 256B |     92.01 Kops/s |     47.1 MB/s |    108.61 us |   147.00 us |   183.00 us |    2.8 |     13.4 |    5.6 |     52.9 |
| 1024B |    103.50 Kops/s |    212.0 MB/s |     96.54 us |   148.00 us |   174.00 us |    2.9 |     16.1 |    5.7 |     52.9 |
| 65536B |     59.08 Kops/s |   7743.3 MB/s |    169.21 us |   250.00 us |   326.00 us |    4.7 |     12.3 |   10.6 |     51.6 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |     90.90 Kops/s |     11.6 MB/s |    109.93 us |   176.00 us |   217.00 us |    3.3 |     16.7 |    6.7 |     51.6 |
| 256B |     95.87 Kops/s |     49.1 MB/s |    104.23 us |   160.00 us |   245.00 us |    3.3 |     14.4 |    6.5 |     52.9 |
| 1024B |     91.34 Kops/s |    187.1 MB/s |    109.40 us |   179.00 us |   252.00 us |    3.5 |     16.9 |    7.1 |     52.9 |
| 65536B |     20.04 Kops/s |   2626.7 MB/s |    498.94 us |   596.00 us |   677.00 us |    4.8 |     12.8 |   10.1 |     51.6 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |    104.86 Kops/s |     13.4 MB/s |     95.29 us |   142.00 us |   217.85 us |    3.1 |     16.4 |    6.8 |     52.9 |
| 256B |     96.90 Kops/s |     49.6 MB/s |    103.10 us |   155.00 us |   252.00 us |    3.1 |     15.6 |    6.7 |     51.6 |
| 1024B |     98.13 Kops/s |    201.0 MB/s |    101.81 us |   156.00 us |   207.00 us |    3.2 |     15.9 |    6.8 |     51.6 |
| 65536B |     11.07 Kops/s |   1450.4 MB/s |    903.61 us |  1125.00 us |  1249.00 us |    4.8 |     12.3 |   10.6 |     54.2 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |    105.38 Kops/s |     13.5 MB/s |     94.82 us |   153.00 us |   272.00 us |    3.7 |     17.8 |    7.7 |     52.9 |
| 256B |     99.45 Kops/s |     50.9 MB/s |    100.48 us |   165.00 us |   223.00 us |    3.7 |     17.7 |    8.0 |     52.9 |
| 1024B |     94.70 Kops/s |    194.0 MB/s |    105.51 us |   160.00 us |   189.00 us |    3.8 |     14.2 |    8.1 |     51.6 |
| 65536B |      8.09 Kops/s |   1060.1 MB/s |   1236.32 us |  1432.00 us |  1603.00 us |    4.8 |     13.4 |   10.0 |     52.9 |
