## PATTERN: MULTI_DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   4572.35 Kmsg/s |    292.6 MB/s |     62.39 us |   109.00 us |   437.01 us |    9.1 |     81.2 |   10.1 |    355.2 |
| 256B |   2327.10 Kmsg/s |    595.7 MB/s | 242913.08 us | 279117.00 us | 285150.17 us |    6.7 |    350.5 |    8.1 |     83.2 |
| 1024B |   1196.19 Kmsg/s |   1224.9 MB/s | 481097.33 us | 567538.05 us | 574646.07 us |    6.7 |    976.1 |    8.9 |    467.2 |
| 65536B |     68.87 Kmsg/s |   4513.2 MB/s | 967234.83 us | 1325957.30 us | 1350974.05 us |    9.2 |   5407.0 |    9.4 |    451.2 |
| 131072B |     42.69 Kmsg/s |   5595.7 MB/s | 776759.12 us | 1130479.25 us | 1169779.06 us |    9.3 |   6974.8 |    9.6 |    867.3 |
| 262144B |     22.51 Kmsg/s |   5899.7 MB/s | 570154.56 us | 863315.05 us | 867478.01 us |    9.3 |   5620.4 |    9.6 |    627.4 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   3567.83 Kmsg/s |    228.3 MB/s |  50290.32 us | 188139.00 us | 200724.08 us |    9.0 |    178.7 |    9.8 |    611.1 |
| 256B |   1980.15 Kmsg/s |    506.9 MB/s | 255918.62 us | 319483.05 us | 326496.05 us |    6.8 |    368.9 |    9.0 |    627.1 |
| 1024B |    982.51 Kmsg/s |   1006.1 MB/s | 613103.39 us | 738209.05 us | 754008.09 us |    6.4 |   1046.0 |    9.7 |    171.2 |
| 65536B |     20.04 Kmsg/s |   1313.2 MB/s | 2615238.39 us | 3156337.55 us | 3205085.01 us |    9.2 |   6534.5 |   10.2 |    315.2 |
| 131072B |     11.72 Kmsg/s |   1536.7 MB/s | 2370579.81 us | 3086523.20 us | 3338372.40 us |    9.3 |   6814.8 |   10.1 |    331.3 |
| 262144B |      7.13 Kmsg/s |   1869.6 MB/s | 2020852.67 us | 2893393.00 us | 3155324.04 us |    9.3 |   6084.0 |   10.4 |    659.4 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   3517.59 Kmsg/s |    225.1 MB/s |  89403.39 us | 217824.15 us | 229688.02 us |    8.8 |    187.5 |    9.4 |    515.1 |
| 256B |   1701.38 Kmsg/s |    435.6 MB/s | 343197.26 us | 611280.45 us | 634819.01 us |    6.6 |    391.3 |    8.5 |    787.1 |
| 1024B |    874.35 Kmsg/s |    895.3 MB/s | 626651.12 us | 1169896.50 us | 1314699.02 us |    6.6 |   1041.6 |    9.4 |    347.1 |
| 65536B |     41.00 Kmsg/s |   2686.9 MB/s | 1297764.86 us | 2309005.45 us | 2471341.09 us |    9.1 |   5715.1 |    9.3 |    427.2 |
| 131072B |     30.52 Kmsg/s |   4000.3 MB/s | 1201939.62 us | 1680662.60 us | 1708008.20 us |    9.2 |   5735.9 |   10.1 |    283.3 |
| 262144B |     15.16 Kmsg/s |   3973.2 MB/s | 941430.45 us | 1418589.30 us | 1460355.10 us |    9.3 |   6391.8 |    9.3 |    476.0 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   2838.71 Kmsg/s |    181.7 MB/s | 169098.88 us | 453421.05 us | 505564.00 us |    8.8 |    194.1 |    9.6 |    707.1 |
| 256B |   1541.18 Kmsg/s |    394.5 MB/s | 387796.56 us | 904988.60 us | 1057998.53 us |    6.4 |    412.1 |    9.4 |    611.1 |
| 1024B |    535.49 Kmsg/s |    548.3 MB/s | 763837.57 us | 1280883.00 us | 1593433.12 us |    7.4 |    919.6 |    9.8 |    723.2 |
| 65536B |      6.94 Kmsg/s |    454.9 MB/s | 3784035.38 us | 3966483.00 us | 3982605.60 us |    9.1 |   5456.5 |    9.3 |    627.2 |
| 131072B |      5.82 Kmsg/s |    762.3 MB/s | 3344015.89 us | 3759931.60 us | 3785536.08 us |    9.3 |   5561.4 |   10.0 |    531.2 |
