## PATTERN: MULTI_PUBSUB (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    7.2 |     21.6 |    7.5 |     22.2 |
| 256B |     69.40 Kmsg/s |     17.8 MB/s | 4869512.81 us | 5298829.30 us | 5321096.32 us |    8.5 |     22.4 |    7.9 |     20.9 |
| 1024B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   10.3 |     19.6 |    7.6 |     20.9 |
| 65536B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   13.6 |     21.6 |   12.0 |     19.6 |
| 131072B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   13.5 |     19.6 |   12.5 |     18.3 |
| 262144B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   13.6 |     19.6 |   12.4 |     19.6 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    7.6 |     26.0 |    8.4 |     22.2 |
| 256B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    9.6 |     21.6 |    9.4 |     23.4 |
| 1024B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   11.9 |     24.2 |   10.5 |     23.4 |
| 65536B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   11.3 |     28.0 |   11.9 |     20.9 |
| 131072B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   11.5 |     28.0 |   11.2 |     19.6 |
| 262144B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   11.2 |     28.0 |   11.5 |     19.6 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    7.3 |     24.7 |    7.3 |     23.4 |
| 256B |     55.17 Kmsg/s |     14.1 MB/s | 4674607.30 us | 5326890.50 us | 5372730.03 us |    9.7 |     22.9 |    7.4 |     23.4 |
| 1024B |     23.23 Kmsg/s |     23.8 MB/s | 5019112.27 us | 5302044.05 us | 5324758.02 us |   11.7 |     21.6 |    8.3 |     22.2 |
| 65536B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   13.1 |     22.9 |   11.8 |     19.6 |
| 131072B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   13.5 |     21.6 |   11.7 |     18.3 |
| 262144B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   13.7 |     20.4 |   12.4 |     18.3 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    8.3 |     24.2 |    8.8 |     20.9 |
| 256B |    798.57 Kmsg/s |    204.4 MB/s | 4370619.75 us | 5123022.05 us | 5394725.31 us |   11.5 |     25.0 |   10.8 |     20.9 |
| 1024B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   12.1 |     26.0 |   11.8 |     23.4 |
| 65536B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   10.7 |     28.0 |   12.0 |     20.9 |
| 131072B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   10.9 |     26.8 |   11.7 |     19.6 |
| 262144B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   11.4 |     28.0 |   12.4 |     19.6 |
