## PATTERN: PAIR (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |   3692.37 Kmsg/s |    236.3 MB/s |     42.22 us |  4.7 |   87.3 |
| 256B |   1930.37 Kmsg/s |    494.2 MB/s |     50.11 us |  4.6 |   92.5 |
| 1024B |    702.48 Kmsg/s |    719.3 MB/s |     50.23 us |  4.7 |  143.2 |
| 65536B |     66.51 Kmsg/s |   4358.5 MB/s |     76.10 us |  6.0 |  137.7 |
| 131072B |     40.34 Kmsg/s |   5287.6 MB/s |    190.03 us |  6.2 |  327.7 |
| 262144B |     21.35 Kmsg/s |   5596.4 MB/s |    134.50 us |  7.7 |  136.4 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B | N/A | N/A | N/A | N/A | N/A |
| 256B | N/A | N/A | N/A | N/A | N/A |
| 1024B | N/A | N/A | N/A | N/A | N/A |
| 65536B | N/A | N/A | N/A | N/A | N/A |
| 131072B | N/A | N/A | N/A | N/A | N/A |
| 262144B | N/A | N/A | N/A | N/A | N/A |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |   2731.26 Kmsg/s |    174.8 MB/s |     51.61 us |  4.7 |   81.5 |
| 256B |   2190.03 Kmsg/s |    560.6 MB/s |     53.08 us |  4.5 |   93.9 |
| 1024B |    983.00 Kmsg/s |   1006.6 MB/s |     50.76 us |  4.7 |  255.6 |
| 65536B |     42.26 Kmsg/s |   2769.3 MB/s |     87.02 us |  5.9 |  145.3 |
| 131072B |     21.32 Kmsg/s |   2794.1 MB/s |    115.73 us |  6.9 |  202.7 |
| 262144B |     13.15 Kmsg/s |   3446.6 MB/s |    166.27 us |  7.5 |  518.9 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B | N/A | N/A | N/A | N/A | N/A |
| 256B | N/A | N/A | N/A | N/A | N/A |
| 1024B | N/A | N/A | N/A | N/A | N/A |
| 65536B | N/A | N/A | N/A | N/A | N/A |
| 131072B | N/A | N/A | N/A | N/A | N/A |
| 262144B | N/A | N/A | N/A | N/A | N/A |

### Transport: inproc
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |   2268.80 Kmsg/s |    145.2 MB/s |      2.13 us |  5.2 |   87.7 |
| 256B |   2540.08 Kmsg/s |    650.3 MB/s |      1.36 us |  4.6 |  120.8 |
| 1024B |   1300.15 Kmsg/s |   1331.4 MB/s |      1.43 us |  4.7 |  206.3 |
| 65536B |    223.44 Kmsg/s |  14643.2 MB/s |      5.83 us |  4.9 |   77.1 |
| 131072B |     93.54 Kmsg/s |  12260.2 MB/s |     11.14 us |  5.2 |   77.5 |
| 262144B |     70.13 Kmsg/s |  18383.2 MB/s |     18.95 us |  5.5 |   76.5 |

### Transport: ipc
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |   3596.19 Kmsg/s |    230.2 MB/s |     38.30 us |  4.6 |   87.0 |
| 256B |   1996.78 Kmsg/s |    511.2 MB/s |     45.80 us |  4.5 |  131.2 |
| 1024B |    855.82 Kmsg/s |    876.4 MB/s |     43.11 us |  4.8 |  203.0 |
| 65536B |     63.31 Kmsg/s |   4149.1 MB/s |    161.91 us |  5.8 |  138.2 |
| 131072B |     36.98 Kmsg/s |   4846.7 MB/s |    132.36 us |  6.5 |  457.8 |
| 262144B |     18.95 Kmsg/s |   4966.9 MB/s |    132.22 us |  7.5 |  201.3 |
