## PATTERN: PAIR (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.84 Kmsg/s |      0.1 MB/s |   1179.91 us |  1297.00 us |  1359.76 us |  0.8 |   84.3 |
| 256B |      0.85 Kmsg/s |      0.2 MB/s |   1171.32 us |  1296.00 us |  1368.00 us |  0.8 |   84.0 |
| 1024B |      0.85 Kmsg/s |      0.9 MB/s |   1168.94 us |  1276.00 us |  1358.02 us |  0.8 |   84.6 |
| 65536B |      0.84 Kmsg/s |     55.0 MB/s |   1187.61 us |  1313.05 us |  1384.01 us |  0.9 |   84.0 |
| 131072B |      0.86 Kmsg/s |    113.2 MB/s |   1156.39 us |  1214.00 us |  1323.83 us |  0.9 |   85.0 |
| 262144B |      0.85 Kmsg/s |    222.9 MB/s |   1174.09 us |  1228.00 us |  1309.00 us |  0.9 |   85.4 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.87 Kmsg/s |      0.1 MB/s |   1141.30 us |  1209.35 us |  1285.27 us |  0.7 |   89.1 |
| 256B |      0.87 Kmsg/s |      0.2 MB/s |   1143.36 us |  1176.00 us |  1258.00 us |  0.8 |   87.6 |
| 1024B |      0.87 Kmsg/s |      0.9 MB/s |   1153.24 us |  1200.00 us |  1293.48 us |  0.9 |   89.1 |
| 65536B |      0.87 Kmsg/s |     57.2 MB/s |   1142.93 us |  1170.00 us |  1202.33 us |  0.9 |   89.6 |
| 131072B |      0.85 Kmsg/s |    111.4 MB/s |   1174.18 us |  1215.00 us |  1239.00 us |  1.2 |   87.9 |
| 262144B |      0.85 Kmsg/s |    222.6 MB/s |   1175.44 us |  1241.70 us |  1300.54 us |  1.5 |   89.3 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.84 Kmsg/s |      0.1 MB/s |   1184.05 us |  1236.00 us |  1311.00 us |  0.9 |   84.6 |
