## PATTERN: MULTI_DEALER_DEALER (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      5.33 Kops/s |      0.7 MB/s |     96.87 us |    1.2 |     55.0 |    1.3 |     58.0 |

## PATTERN: MULTI_DEALER_ROUTER (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      5.24 Kops/s |      0.7 MB/s |    103.94 us |    1.2 |     55.0 |    1.2 |     58.4 |

## PATTERN: MULTI_ROUTER_ROUTER (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      5.42 Kops/s |      0.7 MB/s |     89.52 us |    1.3 |     55.1 |    1.3 |     58.0 |

## PATTERN: MULTI_PUBSUB (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      5.01 Kmsg/s |      0.3 MB/s |     83.23 us |    1.2 |     55.1 |    1.2 |     58.1 |

## PATTERN: MULTI_GATEWAY (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      5.19 Kmsg/s |      0.3 MB/s |     94.82 us |    1.3 |     55.0 |    1.3 |     58.0 |

## PATTERN: MULTI_SPOT (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      5.23 Kmsg/s |      0.3 MB/s |    101.73 us |    1.2 |     55.1 |    1.2 |     58.3 |

## PATTERN: MULTI_STREAM (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      5.48 Kmsg/s |      0.4 MB/s |     91.88 us |    1.3 |     55.0 |    1.3 |     58.3 |

## PATTERN: MULTI_STREAM_CALLBACK (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      6.59 Kmsg/s |      0.4 MB/s |    108.37 us |    1.1 |     55.0 |    1.2 |     58.8 |

## PATTERN: MULTI_STREAM_LEN32BE (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      5.96 Kmsg/s |      0.4 MB/s |     72.19 us |    1.2 |     54.8 |    1.2 |     58.1 |
