## PATTERN: MULTI_DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |     10.13 Kmsg/s |      0.6 MB/s |     71.92 us |    1.3 |     55.6 |    1.3 |     58.7 |
| 256B |      8.91 Kmsg/s |      2.3 MB/s |     60.19 us |    1.4 |     56.7 |    1.3 |     59.2 |
| 1024B |      9.66 Kmsg/s |      9.9 MB/s |     51.39 us |    1.4 |     55.9 |    1.3 |     59.0 |
| 65536B |      6.46 Kmsg/s |    423.5 MB/s |     75.76 us |    1.8 |     55.8 |    1.8 |     59.2 |
| 131072B |      6.15 Kmsg/s |    805.9 MB/s |     83.53 us |    2.0 |     55.8 |    2.1 |     59.0 |
| 262144B |      4.65 Kmsg/s |   1219.5 MB/s |     96.16 us |    2.3 |     56.1 |    2.3 |     60.2 |

## PATTERN: MULTI_DEALER_ROUTER (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      9.55 Kops/s |      1.2 MB/s |     72.46 us |    1.2 |     55.5 |    1.3 |     58.7 |
| 256B |      9.09 Kops/s |      4.7 MB/s |     60.36 us |    1.3 |     55.9 |    1.3 |     58.9 |
| 1024B |      9.86 Kops/s |     20.2 MB/s |     48.78 us |    1.3 |     55.6 |    1.4 |     58.9 |
| 65536B |      6.47 Kops/s |    847.6 MB/s |    131.52 us |    1.8 |     55.6 |    1.8 |     59.2 |
| 131072B |      5.95 Kops/s |   1560.2 MB/s |     75.08 us |    2.1 |     55.9 |    2.1 |     59.1 |
| 262144B |      4.66 Kops/s |   2445.0 MB/s |    128.67 us |    2.3 |     56.4 |    2.4 |     59.7 |

## PATTERN: MULTI_ROUTER_ROUTER (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      9.17 Kops/s |      1.2 MB/s |     96.69 us |    1.2 |     55.6 |    1.3 |     58.9 |
| 256B |      8.96 Kops/s |      4.6 MB/s |     59.45 us |    1.3 |     56.7 |    1.3 |     59.0 |
| 1024B |      8.70 Kops/s |     17.8 MB/s |     64.81 us |    1.3 |     55.6 |    1.4 |     58.7 |
| 65536B |      6.94 Kops/s |    909.4 MB/s |     82.27 us |    1.8 |     55.6 |    1.8 |     58.4 |
| 131072B |      5.71 Kops/s |   1495.6 MB/s |     90.02 us |    2.0 |     55.5 |    2.0 |     59.3 |
| 262144B |      4.55 Kops/s |   2385.1 MB/s |    101.28 us |    2.3 |     56.0 |    2.3 |     59.3 |

