## PATTERN: MULTI_DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      8.54 Kmsg/s |      0.5 MB/s |     48.56 us |    1.3 |     55.6 |    1.3 |     58.9 |
| 256B |      9.82 Kmsg/s |      2.5 MB/s |     50.88 us |    1.3 |     56.2 |    1.3 |     58.5 |
| 1024B |      9.17 Kmsg/s |      9.4 MB/s |     51.41 us |    1.3 |     56.0 |    1.3 |     58.8 |
| 65536B |      7.02 Kmsg/s |    459.9 MB/s |     72.47 us |    1.8 |     56.1 |    1.8 |     59.2 |
| 131072B |      5.47 Kmsg/s |    717.1 MB/s |    112.61 us |    2.0 |     56.1 |    2.0 |     58.9 |
| 262144B |      4.54 Kmsg/s |   1190.3 MB/s |    150.56 us |    2.3 |     56.7 |    2.3 |     59.4 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 256B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 1024B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 65536B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 131072B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 262144B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      8.31 Kmsg/s |      0.5 MB/s |     53.80 us |    1.4 |     56.6 |    1.4 |     59.2 |
| 256B |      9.55 Kmsg/s |      2.4 MB/s |     51.64 us |    1.4 |     56.2 |    1.4 |     59.4 |
| 1024B |      9.71 Kmsg/s |      9.9 MB/s |     53.30 us |    1.4 |     56.7 |    1.4 |     59.4 |
| 65536B |      5.43 Kmsg/s |    356.0 MB/s |     94.18 us |    1.9 |     56.7 |    1.8 |     59.7 |
| 131072B |      4.43 Kmsg/s |    580.0 MB/s |    108.32 us |    2.2 |     57.0 |    2.1 |     59.6 |
| 262144B |      3.89 Kmsg/s |   1020.0 MB/s |    131.86 us |    2.5 |     57.0 |    2.4 |     60.0 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 256B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 1024B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 65536B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 131072B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| 262144B | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
