## PATTERN: PAIR (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |   3542.09 Kmsg/s |    226.7 MB/s |     51.64 us |  1.6 |   67.4 |
| 256B |   1671.12 Kmsg/s |    427.8 MB/s |     48.81 us |  2.1 |  113.5 |
| 1024B |    679.01 Kmsg/s |    695.3 MB/s |     49.99 us |  3.0 |  254.5 |
| 65536B |     25.67 Kmsg/s |   1682.6 MB/s |     94.54 us |  5.6 | 1096.1 |
| 131072B |     15.88 Kmsg/s |   2081.1 MB/s |     91.89 us |  6.4 |  478.2 |
| 262144B |      8.92 Kmsg/s |   2338.1 MB/s |    161.61 us |  7.0 | 1310.6 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B | N/A | N/A | N/A | N/A | N/A |
| 256B | N/A | N/A | N/A | N/A | N/A |
| 1024B | N/A | N/A | N/A | N/A | N/A |
| 65536B | N/A | N/A | N/A | N/A | N/A |
| 131072B | N/A | N/A | N/A | N/A | N/A |
| 262144B | N/A | N/A | N/A | N/A | N/A |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |   2988.83 Kmsg/s |    191.3 MB/s |     38.24 us |  1.7 |   82.8 |
| 256B |   2508.23 Kmsg/s |    642.1 MB/s |     70.77 us |  1.8 |  105.5 |
| 1024B |   1088.98 Kmsg/s |   1115.1 MB/s |     52.89 us |  2.5 |  214.7 |
| 65536B |     28.79 Kmsg/s |   1886.9 MB/s |    117.90 us |  4.9 |  749.3 |
| 131072B |     14.70 Kmsg/s |   1927.1 MB/s |    136.93 us |  5.9 | 1279.0 |
| 262144B |      7.29 Kmsg/s |   1911.3 MB/s |    197.20 us |  6.8 | 2499.5 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B | N/A | N/A | N/A | N/A | N/A |
| 256B | N/A | N/A | N/A | N/A | N/A |
| 1024B | N/A | N/A | N/A | N/A | N/A |
| 65536B | N/A | N/A | N/A | N/A | N/A |
| 131072B | N/A | N/A | N/A | N/A | N/A |
| 262144B | N/A | N/A | N/A | N/A | N/A |

### Transport: inproc
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |   4081.36 Kmsg/s |    261.2 MB/s |      0.63 us |  0.6 |   88.7 |
| 256B |   3099.15 Kmsg/s |    793.4 MB/s |      0.64 us |  0.9 |  125.1 |
| 1024B |   1374.38 Kmsg/s |   1407.4 MB/s |      0.63 us |  1.5 |  151.5 |
| 65536B |     21.80 Kmsg/s |   1428.4 MB/s |      2.96 us |  3.4 |  224.0 |
| 131072B |     14.11 Kmsg/s |   1849.5 MB/s |      4.70 us |  3.7 |  486.2 |
| 262144B |      6.13 Kmsg/s |   1607.4 MB/s |      8.39 us |  4.1 | 1315.9 |

### Transport: ipc
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |   3565.85 Kmsg/s |    228.2 MB/s |     47.39 us |  1.5 |   87.8 |
| 256B |   2159.45 Kmsg/s |    552.8 MB/s |     52.54 us |  1.7 |  135.6 |
| 1024B |   1015.12 Kmsg/s |   1039.5 MB/s |     37.02 us |  2.7 |  229.5 |
| 65536B |     26.17 Kmsg/s |   1715.2 MB/s |     70.12 us |  5.4 |  636.4 |
| 131072B |     14.62 Kmsg/s |   1916.5 MB/s |     92.35 us |  6.4 | 1751.4 |
| 262144B |      7.72 Kmsg/s |   2022.6 MB/s |    114.41 us |  7.0 | 1891.9 |
