## PATTERN: MULTI_DEALER_DEALER (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      5.01 Kops/s |      0.6 MB/s |    105.45 us |    1.4 |     20.3 |    1.4 |     24.7 |

## PATTERN: MULTI_DEALER_ROUTER (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      4.63 Kops/s |      0.6 MB/s |    110.21 us |    1.4 |     20.3 |    1.4 |     24.7 |

## PATTERN: MULTI_ROUTER_ROUTER (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      5.28 Kops/s |      0.7 MB/s |    112.69 us |    1.3 |     20.3 |    1.4 |     24.7 |

## PATTERN: MULTI_PUBSUB (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |     13.07 Kmsg/s |      0.8 MB/s |     19.25 us |    1.8 |     20.3 |    1.8 |     24.7 |

## PATTERN: MULTI_GATEWAY (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      8.89 Kmsg/s |      0.6 MB/s |     24.57 us |    1.4 |     20.2 |    1.5 |     24.7 |

## PATTERN: MULTI_SPOT (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      4.93 Kmsg/s |      0.3 MB/s |    158.62 us |    1.4 |     20.3 |    1.4 |     24.7 |

## PATTERN: MULTI_STREAM (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      5.70 Kmsg/s |      0.4 MB/s |    111.20 us |    1.4 |     20.2 |    1.4 |     24.7 |

## PATTERN: MULTI_STREAM_CALLBACK (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      4.82 Kmsg/s |      0.3 MB/s |    101.87 us |    1.4 |     20.3 |    1.4 |     24.7 |

## PATTERN: MULTI_STREAM_LEN32BE (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      5.64 Kmsg/s |      0.4 MB/s |    104.84 us |    1.4 |     20.3 |    1.4 |     24.7 |
