## PATTERN: MULTI_DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      8.15 Kmsg/s |      0.5 MB/s |     58.41 us |    1.4 |     19.4 |    1.5 |     24.8 |
| 256B |      8.70 Kmsg/s |      2.2 MB/s |     48.33 us |    1.5 |     19.5 |    1.5 |     24.8 |
| 1024B |      8.89 Kmsg/s |      9.1 MB/s |     53.15 us |    1.5 |     19.4 |    1.6 |     24.8 |
| 65536B |      6.41 Kmsg/s |    420.1 MB/s |     63.34 us |    1.7 |     19.5 |    2.0 |     24.8 |
| 131072B |      5.74 Kmsg/s |    752.9 MB/s |     74.74 us |    1.9 |     19.7 |    2.2 |     24.8 |
| 262144B |      4.40 Kmsg/s |   1154.6 MB/s |    119.65 us |    2.2 |     20.1 |    2.5 |     24.8 |

## PATTERN: MULTI_DEALER_ROUTER (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      7.65 Kops/s |      1.0 MB/s |     57.47 us |    1.4 |     19.5 |    1.6 |     24.8 |
| 256B |      7.21 Kops/s |      3.7 MB/s |     65.51 us |    1.4 |     19.4 |    1.5 |     24.8 |
| 1024B |      7.61 Kops/s |     15.6 MB/s |     60.03 us |    1.4 |     19.5 |    1.7 |     24.8 |
| 65536B |      6.47 Kops/s |    847.6 MB/s |     65.92 us |    1.7 |     19.7 |    2.0 |     24.8 |
| 131072B |      5.53 Kops/s |   1450.6 MB/s |    123.79 us |    1.9 |     19.8 |    2.3 |     24.8 |
| 262144B |      4.22 Kops/s |   2214.4 MB/s |     94.78 us |    2.2 |     20.1 |    2.5 |     24.8 |

## PATTERN: MULTI_ROUTER_ROUTER (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      7.38 Kops/s |      0.9 MB/s |     62.05 us |    1.4 |     19.4 |    1.6 |     24.8 |
| 256B |      8.49 Kops/s |      4.3 MB/s |     60.19 us |    1.4 |     19.4 |    1.6 |     24.8 |
| 1024B |      8.30 Kops/s |     17.0 MB/s |    537.04 us |    1.4 |     19.4 |    1.7 |     24.8 |
| 65536B |      5.47 Kops/s |    717.5 MB/s |    108.28 us |    1.7 |     19.5 |    2.0 |     24.8 |
| 131072B |      5.34 Kops/s |   1400.2 MB/s |     74.46 us |    1.9 |     20.0 |    2.2 |     24.8 |
| 262144B |      4.35 Kops/s |   2279.9 MB/s |     97.04 us |    2.2 |     19.7 |    2.5 |     24.8 |

## PATTERN: MULTI_PUBSUB (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      8.86 Kmsg/s |      0.6 MB/s |    119.76 us |    1.4 |     19.4 |    1.4 |     24.8 |
| 256B |      8.59 Kmsg/s |      2.2 MB/s |     71.88 us |    1.4 |     19.4 |    1.4 |     24.8 |
| 1024B |      8.11 Kmsg/s |      8.3 MB/s |     45.23 us |    1.5 |     19.4 |    1.6 |     24.8 |
| 65536B |      5.89 Kmsg/s |    385.7 MB/s |    126.82 us |    1.8 |     19.5 |    1.9 |     24.8 |
| 131072B |      4.92 Kmsg/s |    645.1 MB/s |    164.11 us |    1.9 |     19.8 |    2.1 |     24.8 |
| 262144B |      4.49 Kmsg/s |   1175.7 MB/s |    117.43 us |    2.2 |     20.1 |    2.5 |     24.8 |

## PATTERN: MULTI_GATEWAY (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      7.84 Kmsg/s |      0.5 MB/s |     84.67 us |    1.4 |     19.4 |    1.5 |     24.8 |
| 256B |      8.92 Kmsg/s |      2.3 MB/s |     48.27 us |    1.5 |     19.4 |    1.6 |     24.8 |
| 1024B |      8.05 Kmsg/s |      8.2 MB/s |     58.48 us |    1.4 |     19.4 |    1.5 |     24.8 |
| 65536B |      6.32 Kmsg/s |    414.1 MB/s |     75.40 us |    1.7 |     19.5 |    2.0 |     24.8 |
| 131072B |      5.18 Kmsg/s |    679.4 MB/s |     85.29 us |    1.9 |     19.7 |    2.2 |     24.8 |
| 262144B |      4.11 Kmsg/s |   1078.3 MB/s |    115.10 us |    2.1 |     20.1 |    2.4 |     24.8 |

## PATTERN: MULTI_SPOT (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      8.60 Kmsg/s |      0.6 MB/s |     79.65 us |    1.4 |     19.4 |    1.4 |     24.8 |
| 256B |      7.83 Kmsg/s |      2.0 MB/s |     92.52 us |    1.4 |     19.4 |    1.5 |     24.8 |
| 1024B |      8.22 Kmsg/s |      8.4 MB/s |     69.92 us |    1.5 |     19.4 |    1.5 |     24.8 |
| 65536B |      6.02 Kmsg/s |    394.3 MB/s |    262.11 us |    1.7 |     19.5 |    1.9 |     24.8 |
| 131072B |      5.73 Kmsg/s |    751.2 MB/s |    105.19 us |    1.9 |     19.8 |    2.2 |     24.8 |
| 262144B |      4.46 Kmsg/s |   1169.0 MB/s |    104.70 us |    2.2 |     19.8 |    2.5 |     24.8 |

## PATTERN: MULTI_STREAM (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      8.97 Kops/s |      1.1 MB/s |    106.54 us |    1.4 |     19.4 |    1.5 |     24.8 |
| 256B |      9.13 Kops/s |      4.7 MB/s |    103.26 us |    1.5 |     19.4 |    1.6 |     24.8 |
| 1024B |      8.16 Kops/s |     16.7 MB/s |     68.63 us |    1.5 |     19.4 |    1.6 |     24.8 |
| 65536B |      4.25 Kops/s |    557.6 MB/s |    134.96 us |    1.7 |     19.5 |    1.9 |     24.8 |
| 131072B |      5.79 Kops/s |   1517.1 MB/s |     71.75 us |    2.0 |     19.8 |    2.2 |     24.8 |
| 262144B |      4.22 Kops/s |   2214.8 MB/s |    173.29 us |    2.2 |     20.1 |    2.5 |     24.8 |

## PATTERN: MULTI_STREAM_CALLBACK (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      8.57 Kops/s |      1.1 MB/s |     87.12 us |    1.4 |     19.4 |    1.4 |     24.8 |
| 256B |      8.06 Kops/s |      4.1 MB/s |     57.89 us |    1.5 |     19.4 |    1.5 |     24.8 |
| 1024B |      8.76 Kops/s |     17.9 MB/s |     56.79 us |    1.5 |     19.4 |    1.6 |     24.8 |
| 65536B |      6.03 Kops/s |    790.3 MB/s |    131.19 us |    1.7 |     19.5 |    1.9 |     24.8 |
| 131072B |      5.71 Kops/s |   1496.7 MB/s |     93.19 us |    1.9 |     19.8 |    2.2 |     24.8 |
| 262144B |      4.59 Kops/s |   2406.0 MB/s |    100.60 us |    2.3 |     20.3 |    2.5 |     24.8 |

## PATTERN: MULTI_STREAM_LEN32BE (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      8.11 Kops/s |      1.0 MB/s |     58.52 us |    1.5 |     19.4 |    1.5 |     24.8 |
| 256B |      8.67 Kops/s |      4.4 MB/s |     61.33 us |    1.5 |     19.4 |    1.5 |     24.8 |
| 1024B |      7.85 Kops/s |     16.1 MB/s |     61.64 us |    1.5 |     19.2 |    1.6 |     24.8 |
| 65536B |      6.75 Kops/s |    884.1 MB/s |     65.76 us |    1.7 |     19.5 |    2.0 |     24.8 |
| 131072B |      5.59 Kops/s |   1466.1 MB/s |     72.20 us |    1.9 |     19.8 |    2.2 |     24.8 |
| 262144B |      4.53 Kops/s |   2373.3 MB/s |    140.37 us |    2.2 |     20.1 |    2.5 |     24.8 |
