## PATTERN: PAIR (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |    703.68 Kmsg/s |     45.0 MB/s |     50.95 us |  2.9 |  135.2 |
| 256B |    681.90 Kmsg/s |    174.6 MB/s |     40.55 us |  2.9 |  153.4 |
| 1024B |    574.45 Kmsg/s |    588.2 MB/s |     61.47 us |  3.6 |  262.8 |
| 65536B |     99.61 Kmsg/s |   6527.7 MB/s |     84.39 us |  3.0 |   19.8 |
| 131072B |     52.61 Kmsg/s |   6895.5 MB/s |    117.44 us |  3.6 |   21.2 |
| 262144B |     30.34 Kmsg/s |   7953.8 MB/s |    100.09 us |  4.4 |   21.6 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B | N/A | N/A | N/A | N/A | N/A |
| 256B | N/A | N/A | N/A | N/A | N/A |
| 1024B | N/A | N/A | N/A | N/A | N/A |
| 65536B | N/A | N/A | N/A | N/A | N/A |
| 131072B | N/A | N/A | N/A | N/A | N/A |
| 262144B | N/A | N/A | N/A | N/A | N/A |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |    617.07 Kmsg/s |     39.5 MB/s |     68.51 us |  3.1 |   76.4 |
| 256B |    636.61 Kmsg/s |    163.0 MB/s |     40.86 us |  3.3 |   19.7 |
| 1024B |    633.54 Kmsg/s |    648.7 MB/s |     63.64 us |  3.4 |  127.6 |
| 65536B |     51.11 Kmsg/s |   3349.3 MB/s |     86.55 us |  3.6 |   20.2 |
| 131072B |     23.58 Kmsg/s |   3090.5 MB/s |    105.76 us |  4.3 |   22.1 |
| 262144B |     16.64 Kmsg/s |   4361.4 MB/s |    171.98 us |  4.5 |   23.0 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B | N/A | N/A | N/A | N/A | N/A |
| 256B | N/A | N/A | N/A | N/A | N/A |
| 1024B | N/A | N/A | N/A | N/A | N/A |
| 65536B | N/A | N/A | N/A | N/A | N/A |
| 131072B | N/A | N/A | N/A | N/A | N/A |
| 262144B | N/A | N/A | N/A | N/A | N/A |

### Transport: inproc
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |    718.04 Kmsg/s |     46.0 MB/s |      1.86 us |  2.2 |   19.1 |
| 256B |    722.25 Kmsg/s |    184.9 MB/s |      1.73 us |  2.2 |   19.1 |
| 1024B |    700.76 Kmsg/s |    717.6 MB/s |      1.83 us |  2.2 |   19.2 |
| 65536B |    396.13 Kmsg/s |  25960.7 MB/s |      3.41 us |  0.9 |   19.2 |
| 131072B |    280.60 Kmsg/s |  36779.4 MB/s |      5.08 us |  0.9 |   20.3 |
| 262144B |    199.06 Kmsg/s |  52182.3 MB/s |      7.84 us |  1.2 |   20.6 |

### Transport: ipc
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |    675.57 Kmsg/s |     43.2 MB/s |     35.56 us |  2.9 |  140.6 |
| 256B |    723.73 Kmsg/s |    185.3 MB/s |     47.84 us |  2.8 |   19.3 |
| 1024B |    579.89 Kmsg/s |    593.8 MB/s |     52.61 us |  3.4 |  271.1 |
| 65536B |     99.29 Kmsg/s |   6506.9 MB/s |    104.95 us |  2.9 |   19.8 |
| 131072B |     55.85 Kmsg/s |   7320.5 MB/s |    106.83 us |  3.6 |   20.8 |
| 262144B |     30.22 Kmsg/s |   7922.4 MB/s |    190.56 us |  4.2 |   21.4 |
