
## PATTERN: GATEWAY
  > Benchmarking baseline for GATEWAY...
    Testing tcp | 64B: 1 Done
    Testing tcp | 256B: 1 Done
    Testing tcp | 1024B: 1 Done
    Testing tcp | 65536B: 1 Done
    Testing tcp | 131072B: 1 Done
    Testing tcp | 262144B: 1 Done
    Testing tls | 64B: 1 Done
    Testing tls | 256B: 1 Done
    Testing tls | 1024B: 1 Done
    Testing tls | 65536B: 1 Done
    Testing tls | 131072B: 1 Done
    Testing tls | 262144B: 1 Done
    Testing ws | 64B: 1 Done
    Testing ws | 256B: 1 Done
    Testing ws | 1024B: 1 Done
    Testing ws | 65536B: 1 Done
    Testing ws | 131072B: 1 Done
    Testing ws | 262144B: 1 Done
    Testing wss | 64B: 1 Done
    Testing wss | 256B: 1 Done
    Testing wss | 1024B: 1 Done
    Testing wss | 65536B: 1 Done
    Testing wss | 131072B: 1 Done
    Testing wss | 262144B: 1 Done
  > Benchmarking current for GATEWAY...
    Testing tcp | 64B: 1 Done
    Testing tcp | 256B: 1 Done
    Testing tcp | 1024B: 1 Done
    Testing tcp | 65536B: 1 Done
    Testing tcp | 131072B: 1 Done
    Testing tcp | 262144B: 1 Done
    Testing tls | 64B: 1 Done
    Testing tls | 256B: 1 Done
    Testing tls | 1024B: 1 Done
    Testing tls | 65536B: 1 Done
    Testing tls | 131072B: 1 Done
    Testing tls | 262144B: 1 Done
    Testing ws | 64B: 1 Done
    Testing ws | 256B: 1 Done
    Testing ws | 1024B: 1 Done
    Testing ws | 65536B: 1 Done
    Testing ws | 131072B: 1 Done
    Testing ws | 262144B: 1 Done
    Testing wss | 64B: 1 Done
    Testing wss | 256B: 1 Done
    Testing wss | 1024B: 1 Done
    Testing wss | 65536B: 1 Done
    Testing wss | 131072B: 1 Done
    Testing wss | 262144B: 1 Done

### Transport: tcp
| Size   | Metric     |         baseline |          current |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   4278.11 Kmsg/s |   4107.34 Kmsg/s |   -3.99% |
| 64B    | Latency    |         42.53 us |         46.96 us |  -10.42% |
| 256B   | Throughput |   2164.36 Kmsg/s |   1757.98 Kmsg/s |  -18.78% |
| 256B   | Latency    |         38.15 us |         61.03 us |  -59.97% |
| 1024B  | Throughput |    671.70 Kmsg/s |    849.07 Kmsg/s |  +26.41% |
| 1024B  | Latency    |         58.33 us |         41.14 us |  +29.47% |
| 65536B | Throughput |     61.78 Kmsg/s |     68.97 Kmsg/s |  +11.64% |
| 65536B | Latency    |         50.03 us |         52.15 us |   -4.24% |
| 131072B | Throughput |     40.92 Kmsg/s |     40.71 Kmsg/s |   -0.50% |
| 131072B | Latency    |         70.22 us |         69.72 us |   +0.71% |
| 262144B | Throughput |     23.46 Kmsg/s |    -13.39 Kmsg/s | -157.10% |
| 262144B | Latency    |        123.95 us |         85.23 us |  +31.24% |

### Transport: tls
| Size   | Metric     |         baseline |          current |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   3827.40 Kmsg/s |   4310.27 Kmsg/s |  +12.62% |
| 64B    | Latency    |         45.92 us |         41.43 us |   +9.78% |
| 256B   | Throughput |   1748.03 Kmsg/s |   1725.97 Kmsg/s |   -1.26% |
| 256B   | Latency    |         39.97 us |         63.26 us |  -58.27% |
| 1024B  | Throughput |    136.76 Kmsg/s |    627.45 Kmsg/s | +358.81% |
| 1024B  | Latency    |         40.11 us |         46.81 us |  -16.70% |
| 65536B | Throughput |     20.79 Kmsg/s |     21.11 Kmsg/s |   +1.54% |
| 65536B | Latency    |        107.10 us |         99.83 us |   +6.79% |
| 131072B | Throughput |     10.57 Kmsg/s |     11.53 Kmsg/s |   +9.07% |
| 131072B | Latency    |        178.94 us |        184.29 us |   -2.99% |
