stack,size,repeat,attempt,ccu,duration,inflight,client_rc,throughput_msg_s,throughput_mib_s,p50_us,p95_us,p99_us,pass_fail,port,client_log,server_log
asio,1024,1,1,10000,5,10,0,212603.80,415.24,281153.58,331283.22,5365624.12,PASS,20906,doc/plan/baseline/20260218_all5_1024_inflight10/logs/asio_s1024_r1_a1_client.log,doc/plan/baseline/20260218_all5_1024_inflight10/logs/asio_s1024_r1_a1_server.log
asio,1024,2,1,10000,5,10,0,211437.00,412.96,429887.33,476808.86,5369272.71,PASS,20907,doc/plan/baseline/20260218_all5_1024_inflight10/logs/asio_s1024_r2_a1_client.log,doc/plan/baseline/20260218_all5_1024_inflight10/logs/asio_s1024_r2_a1_server.log
asio,1024,3,1,10000,5,10,0,215174.60,420.26,280271.61,327508.09,5350789.45,PASS,20909,doc/plan/baseline/20260218_all5_1024_inflight10/logs/asio_s1024_r3_a1_client.log,doc/plan/baseline/20260218_all5_1024_inflight10/logs/asio_s1024_r3_a1_server.log
cppserver,1024,1,1,10000,5,10,0,320108.20,625.21,187345.61,251434.77,5061312.50,PASS,20911,doc/plan/baseline/20260218_all5_1024_inflight10/logs/cppserver_s1024_r1_a1_client.log,doc/plan/baseline/20260218_all5_1024_inflight10/logs/cppserver_s1024_r1_a1_server.log
cppserver,1024,2,1,10000,5,10,0,316482.60,618.13,180402.59,264683.57,5076575.31,PASS,20913,doc/plan/baseline/20260218_all5_1024_inflight10/logs/cppserver_s1024_r2_a1_client.log,doc/plan/baseline/20260218_all5_1024_inflight10/logs/cppserver_s1024_r2_a1_server.log
cppserver,1024,3,1,10000,5,10,0,321444.20,627.82,188305.71,255447.90,5046674.69,PASS,20915,doc/plan/baseline/20260218_all5_1024_inflight10/logs/cppserver_s1024_r3_a1_client.log,doc/plan/baseline/20260218_all5_1024_inflight10/logs/cppserver_s1024_r3_a1_server.log
dotnet,1024,1,1,10000,5,10,0,292401.40,571.10,351270.32,393330.43,728941.71,PASS,20917,doc/plan/baseline/20260218_all5_1024_inflight10/logs/dotnet_s1024_r1_a1_client.log,doc/plan/baseline/20260218_all5_1024_inflight10/logs/dotnet_s1024_r1_a1_server.log
dotnet,1024,2,1,10000,5,10,0,291717.80,569.76,347861.48,394750.71,748143.47,PASS,20919,doc/plan/baseline/20260218_all5_1024_inflight10/logs/dotnet_s1024_r2_a1_client.log,doc/plan/baseline/20260218_all5_1024_inflight10/logs/dotnet_s1024_r2_a1_server.log
dotnet,1024,3,1,10000,5,10,0,295345.20,576.85,347001.04,387945.52,739078.56,PASS,20921,doc/plan/baseline/20260218_all5_1024_inflight10/logs/dotnet_s1024_r3_a1_client.log,doc/plan/baseline/20260218_all5_1024_inflight10/logs/dotnet_s1024_r3_a1_server.log
zlink,1024,1,1,10000,5,10,0,299738.60,585.43,273020.05,378444.88,3149339.34,PASS,20923,doc/plan/baseline/20260218_all5_1024_inflight10/logs/zlink_s1024_r1_a1_client.log,doc/plan/baseline/20260218_all5_1024_inflight10/logs/zlink_s1024_r1_a1_server.log
zlink,1024,2,1,10000,5,10,0,302009.00,589.86,295451.23,375029.61,2785666.42,PASS,20925,doc/plan/baseline/20260218_all5_1024_inflight10/logs/zlink_s1024_r2_a1_client.log,doc/plan/baseline/20260218_all5_1024_inflight10/logs/zlink_s1024_r2_a1_server.log
zlink,1024,3,1,10000,5,10,0,297964.00,581.96,280938.96,385871.01,2982211.38,PASS,20927,doc/plan/baseline/20260218_all5_1024_inflight10/logs/zlink_s1024_r3_a1_client.log,doc/plan/baseline/20260218_all5_1024_inflight10/logs/zlink_s1024_r3_a1_server.log
cgdk10,1024,1,1,10000,5,10,0,246998.80,482.42,396094.73,637324.81,1145636.49,PASS,20929,doc/plan/baseline/20260218_all5_1024_inflight10/logs/cgdk10_s1024_r1_a1_client.log,doc/plan/baseline/20260218_all5_1024_inflight10/logs/cgdk10_s1024_r1_a1_server.log
cgdk10,1024,2,1,10000,5,10,0,209030.60,408.26,390608.91,1456301.31,1943451.85,PASS,20931,doc/plan/baseline/20260218_all5_1024_inflight10/logs/cgdk10_s1024_r2_a1_client.log,doc/plan/baseline/20260218_all5_1024_inflight10/logs/cgdk10_s1024_r2_a1_server.log
cgdk10,1024,3,1,10000,5,10,0,243492.00,475.57,387438.83,758860.56,1251712.94,PASS,20933,doc/plan/baseline/20260218_all5_1024_inflight10/logs/cgdk10_s1024_r3_a1_client.log,doc/plan/baseline/20260218_all5_1024_inflight10/logs/cgdk10_s1024_r3_a1_server.log
