stack,size,repeat,attempt,ccu,duration,inflight,client_rc,throughput_msg_s,throughput_mib_s,p50_us,p95_us,p99_us,pass_fail,port,client_log,server_log
asio,64,1,1,10000,5,1,0,309989.40,37.84,31611.40,35028.82,36753.02,PASS,20121,doc/plan/baseline/20260218_compare_all5_final/logs/asio_s64_r1_a1_client.log,doc/plan/baseline/20260218_compare_all5_final/logs/asio_s64_r1_a1_server.log
asio,64,2,1,10000,5,1,0,320473.20,39.12,31277.22,32310.81,32904.10,PASS,20122,doc/plan/baseline/20260218_compare_all5_final/logs/asio_s64_r2_a1_client.log,doc/plan/baseline/20260218_compare_all5_final/logs/asio_s64_r2_a1_server.log
asio,64,3,1,10000,5,1,0,316954.20,38.69,31735.14,32784.49,34277.70,PASS,20123,doc/plan/baseline/20260218_compare_all5_final/logs/asio_s64_r3_a1_client.log,doc/plan/baseline/20260218_compare_all5_final/logs/asio_s64_r3_a1_server.log
asio,1024,1,1,10000,5,1,0,251266.40,490.75,36121.76,42591.96,43601.08,PASS,20125,doc/plan/baseline/20260218_compare_all5_final/logs/asio_s1024_r1_a1_client.log,doc/plan/baseline/20260218_compare_all5_final/logs/asio_s1024_r1_a1_server.log
asio,1024,2,1,10000,5,1,0,256098.40,500.19,35712.52,41748.23,43177.52,PASS,20126,doc/plan/baseline/20260218_compare_all5_final/logs/asio_s1024_r2_a1_client.log,doc/plan/baseline/20260218_compare_all5_final/logs/asio_s1024_r2_a1_server.log
asio,1024,3,1,10000,5,1,0,250359.60,488.98,35877.28,42676.93,51466.90,PASS,20127,doc/plan/baseline/20260218_compare_all5_final/logs/asio_s1024_r3_a1_client.log,doc/plan/baseline/20260218_compare_all5_final/logs/asio_s1024_r3_a1_server.log
asio,65536,1,1,10000,5,1,0,58898.80,7362.35,51363.03,59084.10,5243231.50,PASS,20129,doc/plan/baseline/20260218_compare_all5_final/logs/asio_s65536_r1_a1_client.log,doc/plan/baseline/20260218_compare_all5_final/logs/asio_s65536_r1_a1_server.log
asio,65536,2,1,10000,5,1,0,58720.80,7340.10,55084.19,66386.31,5208114.01,PASS,20131,doc/plan/baseline/20260218_compare_all5_final/logs/asio_s65536_r2_a1_client.log,doc/plan/baseline/20260218_compare_all5_final/logs/asio_s65536_r2_a1_server.log
asio,65536,3,1,10000,5,1,0,58184.60,7273.07,40474.55,48713.10,5261142.49,PASS,20133,doc/plan/baseline/20260218_compare_all5_final/logs/asio_s65536_r3_a1_client.log,doc/plan/baseline/20260218_compare_all5_final/logs/asio_s65536_r3_a1_server.log
cppserver,64,1,1,10000,5,1,0,371801.80,45.39,19324.82,28644.82,40120.91,PASS,20135,doc/plan/baseline/20260218_compare_all5_final/logs/cppserver_s64_r1_a1_client.log,doc/plan/baseline/20260218_compare_all5_final/logs/cppserver_s64_r1_a1_server.log
cppserver,64,2,1,10000,5,1,0,373407.00,45.58,19435.90,28286.40,31420.32,PASS,20137,doc/plan/baseline/20260218_compare_all5_final/logs/cppserver_s64_r2_a1_client.log,doc/plan/baseline/20260218_compare_all5_final/logs/cppserver_s64_r2_a1_server.log
cppserver,64,3,1,10000,5,1,0,366694.40,44.76,19997.47,28380.49,30380.31,PASS,20139,doc/plan/baseline/20260218_compare_all5_final/logs/cppserver_s64_r3_a1_client.log,doc/plan/baseline/20260218_compare_all5_final/logs/cppserver_s64_r3_a1_server.log
cppserver,1024,1,1,10000,5,1,0,336238.40,656.72,19945.89,31117.11,34706.91,PASS,20141,doc/plan/baseline/20260218_compare_all5_final/logs/cppserver_s1024_r1_a1_client.log,doc/plan/baseline/20260218_compare_all5_final/logs/cppserver_s1024_r1_a1_server.log
cppserver,1024,2,1,10000,5,1,0,330249.60,645.02,20774.37,30201.88,33214.40,PASS,20143,doc/plan/baseline/20260218_compare_all5_final/logs/cppserver_s1024_r2_a1_client.log,doc/plan/baseline/20260218_compare_all5_final/logs/cppserver_s1024_r2_a1_server.log
