stack,size,repeat,attempt,ccu,duration,inflight,client_rc,throughput_msg_s,throughput_mib_s,p50_us,p95_us,p99_us,pass_fail,port,client_log,server_log
asio,64,1,1,10000,5,1,0,320307.20,39.10,31274.86,32642.22,35478.32,PASS,21234,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/asio_s64_r1_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/asio_s64_r1_a1_server.log
asio,64,2,1,10000,5,1,0,318301.80,38.86,31222.37,32864.43,46664.62,PASS,21235,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/asio_s64_r2_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/asio_s64_r2_a1_server.log
asio,64,3,1,10000,5,1,0,306453.40,37.41,31889.78,35015.15,37127.71,PASS,21237,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/asio_s64_r3_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/asio_s64_r3_a1_server.log
asio,1024,1,1,10000,5,1,0,250258.80,488.79,35991.35,42340.48,43456.90,PASS,21239,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/asio_s1024_r1_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/asio_s1024_r1_a1_server.log
asio,1024,2,1,10000,5,1,0,255097.00,498.24,35813.71,41749.61,43054.80,PASS,21240,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/asio_s1024_r2_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/asio_s1024_r2_a1_server.log
asio,1024,3,1,10000,5,1,0,269524.80,526.42,35257.62,40675.26,42335.96,PASS,21241,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/asio_s1024_r3_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/asio_s1024_r3_a1_server.log
asio,65536,1,1,10000,5,1,0,58955.60,7369.45,51141.09,58229.12,5211622.46,PASS,21243,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/asio_s65536_r1_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/asio_s65536_r1_a1_server.log
asio,65536,2,1,10000,5,1,0,59066.40,7383.30,40069.32,46991.24,5233054.74,PASS,21245,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/asio_s65536_r2_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/asio_s65536_r2_a1_server.log
asio,65536,3,1,10000,5,1,0,59484.00,7435.50,51576.52,62524.30,5223457.26,PASS,21247,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/asio_s65536_r3_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/asio_s65536_r3_a1_server.log
cppserver,64,1,1,10000,5,1,0,375953.40,45.89,19046.91,28382.93,32015.13,PASS,21249,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cppserver_s64_r1_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cppserver_s64_r1_a1_server.log
