
## Effective Options (single)
- mode: zlink-only
- runs: 1
- duration_seconds: 5
- latency_seconds: 5
- timeout_seconds: 120
- sndtimeo_ms: 200
- recvtimeo_ms: 200
- hwm: 1000
- sndhwm: 1000
- rcvhwm: 1000
- io_threads: 0
- xpub_nodrop: 1
- patterns: PAIR,PUBSUB,DEALER_DEALER,DEALER_ROUTER,ROUTER_ROUTER
- transports: tcp,ws,wss,tls
- msg_sizes: 64,256,1024,65536,131072,262144
- build_dir: /home/hep7/project/kairos/zlink-perf-regression-bisect/core/build/bin

## PATTERN: PAIR
  > Benchmarking zlink for PAIR...
### Transport: tcp
| Size   | Metric     |            zlink |
|--------|------------|------------------|
| 64B    | Throughput |   4399.03 Kmsg/s |
| 64B    | Latency    |          0.05 ms |
| 256B   | Throughput |   2607.57 Kmsg/s |
| 256B   | Latency    |          0.26 ms |
| 1024B  | Throughput |   1339.11 Kmsg/s |
| 1024B  | Latency    |          0.51 ms |
| 65536B | Throughput |     96.10 Kmsg/s |
| 65536B | Latency    |          7.07 ms |
| 131072B | Throughput |     53.40 Kmsg/s |
| 131072B | Latency    |         12.42 ms |
| 262144B | Throughput |     29.56 Kmsg/s |
| 262144B | Latency    |         22.21 ms |
  > Benchmarking zlink for PAIR...
### Transport: ws
| Size   | Metric     |            zlink |
|--------|------------|------------------|
| 64B    | Throughput |   3098.30 Kmsg/s |
| 64B    | Latency    |         33.91 ms |
| 256B   | Throughput |   2302.50 Kmsg/s |
| 256B   | Latency    |         20.26 ms |
| 1024B  | Throughput |    982.64 Kmsg/s |
| 1024B  | Latency    |         14.56 ms |
| 65536B | Throughput |     47.78 Kmsg/s |
| 65536B | Latency    |         18.69 ms |
| 131072B | Throughput |     31.33 Kmsg/s |
| 131072B | Latency    |         22.26 ms |
| 262144B | Throughput |     18.15 Kmsg/s |
| 262144B | Latency    |         37.92 ms |
  > Benchmarking zlink for PAIR...
### Transport: wss
| Size   | Metric     |            zlink |
|--------|------------|------------------|
| 64B    | Throughput |   3315.34 Kmsg/s |
| 64B    | Latency    |         75.05 ms |
| 256B   | Throughput |   1726.84 Kmsg/s |
| 256B   | Latency    |         43.27 ms |
| 1024B  | Throughput |    588.43 Kmsg/s |
| 1024B  | Latency    |         30.36 ms |
| 65536B | Throughput |     18.96 Kmsg/s |
| 65536B | Latency    |         46.73 ms |
| 131072B | Throughput |     10.50 Kmsg/s |
| 131072B | Latency    |         76.07 ms |
| 262144B | Throughput |      5.54 Kmsg/s |
| 262144B | Latency    |        136.91 ms |
  > Benchmarking zlink for PAIR...
### Transport: tls
| Size   | Metric     |            zlink |
|--------|------------|------------------|
| 64B    | Throughput |   4488.39 Kmsg/s |
| 64B    | Latency    |         36.18 ms |
| 256B   | Throughput |   2262.46 Kmsg/s |
| 256B   | Latency    |          0.33 ms |
| 1024B  | Throughput |    823.01 Kmsg/s |
| 1024B  | Latency    |          0.87 ms |
| 65536B | Throughput |     24.35 Kmsg/s |
| 65536B | Latency    |         29.90 ms |
| 131072B | Throughput |     13.37 Kmsg/s |
| 131072B | Latency    |         53.38 ms |
| 262144B | Throughput |      7.02 Kmsg/s |
| 262144B | Latency    |        102.49 ms |

## PATTERN: PUBSUB
  > Benchmarking zlink for PUBSUB...
### Transport: tcp
| Size   | Metric     |            zlink |
|--------|------------|------------------|
| 64B    | Throughput |   4545.71 Kmsg/s |
| 64B    | Latency    |          0.04 ms |
| 256B   | Throughput |   2446.41 Kmsg/s |
| 256B   | Latency    |          0.29 ms |
| 1024B  | Throughput |   1402.42 Kmsg/s |
| 1024B  | Latency    |          0.49 ms |
| 65536B | Throughput |     96.17 Kmsg/s |
| 65536B | Latency    |          7.06 ms |
| 131072B | Throughput |     52.03 Kmsg/s |
| 131072B | Latency    |         12.78 ms |
| 262144B | Throughput |     28.99 Kmsg/s |
| 262144B | Latency    |         22.69 ms |
  > Benchmarking zlink for PUBSUB...
### Transport: ws
| Size   | Metric     |            zlink |
|--------|------------|------------------|
| 64B    | Throughput |   3158.78 Kmsg/s |
| 64B    | Latency    |         32.44 ms |
| 256B   | Throughput |   2166.72 Kmsg/s |
| 256B   | Latency    |         24.33 ms |
| 1024B  | Throughput |   1077.44 Kmsg/s |
| 1024B  | Latency    |          9.29 ms |
| 65536B | Throughput |     49.65 Kmsg/s |
| 65536B | Latency    |         20.50 ms |
| 131072B | Throughput |     31.76 Kmsg/s |
| 131072B | Latency    |         26.72 ms |
| 262144B | Throughput |     24.02 Kmsg/s |
| 262144B | Latency    |         27.86 ms |
  > Benchmarking zlink for PUBSUB...
### Transport: wss
| Size   | Metric     |            zlink |
|--------|------------|------------------|
| 64B    | Throughput |   3352.22 Kmsg/s |
| 64B    | Latency    |         70.21 ms |
| 256B   | Throughput |   1761.36 Kmsg/s |
| 256B   | Latency    |         37.05 ms |
| 1024B  | Throughput |    600.37 Kmsg/s |
| 1024B  | Latency    |         25.74 ms |
| 65536B | Throughput |     19.34 Kmsg/s |
| 65536B | Latency    |         48.66 ms |
| 131072B | Throughput |     11.24 Kmsg/s |
| 131072B | Latency    |         71.25 ms |
| 262144B | Throughput |      5.99 Kmsg/s |
| 262144B | Latency    |        125.76 ms |
  > Benchmarking zlink for PUBSUB...
### Transport: tls
| Size   | Metric     |            zlink |
|--------|------------|------------------|
| 64B    | Throughput |   3963.20 Kmsg/s |
| 64B    | Latency    |          8.53 ms |
| 256B   | Throughput |   2193.27 Kmsg/s |
| 256B   | Latency    |          0.33 ms |
| 1024B  | Throughput |    837.97 Kmsg/s |
| 1024B  | Latency    |          0.85 ms |
| 65536B | Throughput |     24.50 Kmsg/s |
| 65536B | Latency    |         29.51 ms |
| 131072B | Throughput |     13.36 Kmsg/s |
