=== Running multi benchmark: dealer_dealer,dealer_router,router_router,pubsub,stream ===
    warmup=2s duration=5s runs=1 transports=tcp,ipc

--- Pattern: dealer_dealer ---

## PATTERN: MULTI_DEALER_DEALER
  > Benchmarking libzmq for MULTI_DEALER_DEALER...
  > Benchmarking zlink for MULTI_DEALER_DEALER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   3763.17 Kmsg/s |   4006.42 Kmsg/s |    +6.46% |
| 64B    | Latency    |          0.15 ms |          0.24 ms |   -64.68% |
| 256B   | Throughput |   1591.55 Kmsg/s |   1653.30 Kmsg/s |    +3.88% |
| 256B   | Latency    |          0.17 ms |          0.29 ms |   -65.88% |
| 1024B  | Throughput |   1241.64 Kmsg/s |   1406.69 Kmsg/s |   +13.29% |
| 1024B  | Latency    |          0.24 ms |          0.74 ms |  -211.70% |
| 65536B | Throughput |     90.77 Kmsg/s |    112.00 Kmsg/s |   +23.39% |
| 65536B | Latency    |         44.13 ms |         36.50 ms |   +17.29% |
| 131072B | Throughput |     64.06 Kmsg/s |     67.41 Kmsg/s |    +5.23% |
| 131072B | Latency    |         45.32 ms |         42.38 ms |    +6.48% |
| 262144B | Throughput |     27.59 Kmsg/s |     47.41 Kmsg/s |   +71.82% |
| 262144B | Latency    |         85.45 ms |         32.59 ms |   +61.86% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   3116.08 Kmsg/s |   3504.18 Kmsg/s |   +12.45% |
| 64B    | Latency    |          0.44 ms |          0.17 ms |   +60.59% |
| 256B   | Throughput |   1410.88 Kmsg/s |   1480.58 Kmsg/s |    +4.94% |
| 256B   | Latency    |          0.16 ms |          0.23 ms |   -41.93% |
| 1024B  | Throughput |   1098.44 Kmsg/s |   1069.84 Kmsg/s |    -2.60% |
| 1024B  | Latency    |          0.18 ms |          0.08 ms |   +53.67% |
| 65536B | Throughput |    106.33 Kmsg/s |     98.69 Kmsg/s |    -7.19% |
| 65536B | Latency    |         13.52 ms |         30.81 ms |  -127.95% |
| 131072B | Throughput |     88.47 Kmsg/s |     44.59 Kmsg/s |   -49.59% |
| 131072B | Latency    |         10.40 ms |         45.30 ms |  -335.71% |
